Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,11490,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.676,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.762,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.831,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.878,Terrain,11490,None,True,248.507:-0.005000055:423.2839:0:0.9848528:0:-0.1733926,238.1141:0.1115839:403.7122:0.002552508:0.2416585:-0.0006356781:0.9703578,254.1505:0.1115837:406.1739:0.003194415:-0.1586235:0.0005132096:0.9873338,219.1169:0.1115837:408.9374:0.001511679:0.5297784:-0.0009442546:0.8481342,223.4755:0.1115839:396.552:0.001480353:0.3674625:-0.0005848953:0.930037,239.0525:0.1115837:392.0285:0.001765904:0.1463439:-0.0002612422:0.9892322
.921,Terrain,11490,None,True,248.529:-0.004999995:423.5464:0:0.9361146:0:-0.3516951,238.1141:0.1115839:403.7122:0.002526346:0.2394127:-0.0006229584:0.9709144,254.1505:0.1115837:406.1739:0.003153386:-0.1558363:0.0004974926:0.9877778,219.1169:0.1115837:408.9374:0.001508664:0.5268545:-0.0009351643:0.8499537,223.4755:0.1115839:396.552:0.00147332:0.3653995:-0.0005783432:0.9308495,239.0525:0.1115837:392.0285:0.001752298:0.145518:-0.0002577347:0.989354
.963,Terrain,11490,None,True,248.5246:-0.004999995:423.7741:0:0.8919307:0:-0.4521722,238.1141:0.1115839:403.7122:0.002505495:0.2370542:-0.0006113662:0.971493,254.1505:0.1115837:406.1739:0.003117024:-0.154073:0.0004860555:0.9880545,219.1169:0.1115837:408.9374:0.00150708:0.5241947:-0.0009276734:0.8515966,223.4755:0.1115839:396.552:0.001468004:0.3634087:-0.0005726375:0.9316285,239.0525:0.1115837:392.0285:0.001741091:0.144476:-0.0002542133:0.9895068
1.047,Terrain,11490,None,True,248.4068:-0.005000174:424.2714:0:-0.8016343:0:0.5978147,238.1141:0.1115839:403.7122:0.002467347:0.2299997:-0.0005831242:0.9731874,254.1505:0.1115837:406.1739:0.003033865:-0.1530536:0.0004698825:0.9882131,219.1169:0.1115837:408.9374:0.001508402:0.5177786:-0.0009129239:0.8555129,223.4755:0.1115839:396.552:0.001459848:0.3581126:-0.0005599258:0.9336771,239.0525:0.1115837:392.0285:0.00171902:0.140716:-0.0002443249:0.9900485
1.132,Terrain,11490,None,True,248.0697:-0.005000114:424.6584:0:-0.7575676:0:0.6527566,238.1141:0.1115839:403.7122:0.002451856:0.220027:-0.0005530289:0.9754906,254.1505:0.1115837:406.1739:0.002957838:-0.1582381:0.0004740171:0.9873964,219.1169:0.1115837:408.9374:0.001520582:0.5112815:-0.0009046254:0.8594115,223.4755:0.1115839:396.552:0.001461054:0.3517359:-0.0005489864:0.936098,239.0525:0.1115837:392.0285:0.001706285:0.1344016:-0.0002314275:0.9909255
1.186,Terrain,11490,None,True,247.7094:-0.005000055:424.7975:0:-0.7517123:0:0.6594912,238.1141:0.1115839:403.7122:0.002459103:0.2119116:-0.0005332244:0.9772856,254.1505:0.1115837:406.1739:0.002917135:-0.1657181:0.0004902023:0.9861687,219.1169:0.1115837:408.9374:0.00153624:0.5074106:-0.0009046098:0.8617026,223.4755:0.1115839:396.552:0.001468854:0.3471702:-0.0005437641:0.9378009,239.0525:0.1115837:392.0285:0.001705539:0.1287818:-0.000221487:0.9916715
