Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd
.000,Terrain,104762,None,True,262.9717:0:450.5668:0:-0.9938502:0:0.1107332
.353,Terrain,104762,None,True,262.971:0.01846242:450.566:0:0.9938502:0:-0.1107332
.424,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.474,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.524,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.573,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.623,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.673,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.722,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.772,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.822,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.872,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.921,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.971,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.020,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.070,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.120,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.170,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.219,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.269,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.319,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.368,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.418,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.468,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.517,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
