Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab
.020,Terrain,11768,None,True,240.393:0:424.3809:0:-0.9938502:0:0.1107332,239.8003:0:378.4259:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,240.3786:0:409.3502:0:0:0:1,231.859:0:409.2561:0:0:0:1,223.6364:0:397.3542:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,247.8209:0:378.6161:0:0:0:1,235.2962:0.2906466:392.9454:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,245.6428:0:407.5663:0:0.9996465:0:0.02658921,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844
.101,Terrain,11768,None,True,240.393:-0.004999638:424.3809:0:0.9835075:0:-0.1808673,239.8003:-0.02999464:378.4257:0:0:0:1,251.2731:-0.01812547:391.3259:0:-0.4147338:0:0.9099428,240.3786:-0.02997464:409.35:0:0:0:1,231.859:-0.02998042:409.2559:0:0:0:1,223.6364:-0.02997673:397.354:0:0:0:1,251.5295:-0.0197053:399.6201:0:-0.4235321:0:0.9058811,247.8209:-0.02999038:378.6161:0:0:0:1,235.2962:-0.03255025:392.9449:0:0:0:1,217.1306:-0.0299632:403.6444:0:0.4497332:0:0.893163,245.6427:-0.02999255:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07692933:386.5408:0:-0.6449979:0:0.7641844
.199,Terrain,11768,None,True,240.393:-0.005000055:424.3809:0:0.9766353:0:-0.2149035,239.8003:-0.02999172:378.4257:0:0:0:1,251.2516:-0.01929331:391.3416:0:-0.4147338:0:0.9099428,240.3786:-0.02997065:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.5116:-0.02008417:399.6366:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997622:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
.281,Terrain,11768,None,True,240.393:-0.005000055:424.3809:0:0.9690212:0:-0.2469779,239.8003:-0.02999172:378.4257:0:0:0:1,251.2276:-0.02063006:391.3588:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.4901:-0.02053884:399.6564:0:-0.4235321:0:0.9058811,247.8209:-0.02998742:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693455:386.5409:0:-0.6449979:0:0.7641844
.370,Terrain,11768,None,True,240.393:-0.004999995:424.3809:0:0.9638993:0:-0.2662673,239.8003:-0.02999172:378.4257:0:0:0:1,251.2105:-0.0215852:391.3707:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.4737:-0.0208874:399.6715:0:-0.4235321:0:0.9058811,247.8209:-0.02998742:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693455:386.5409:0:-0.6449979:0:0.7641844
.469,Terrain,11768,None,True,240.393:-0.005000055:424.3809:0:0.9586883:0:-0.284459,239.8003:-0.02999172:378.4257:0:0:0:1,251.1914:-0.02265415:391.3836:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.4541:-0.02130336:399.6895:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
.550,Terrain,11768,None,True,240.393:-0.005000055:424.3809:0:0.9553691:0:-0.2954147,239.8003:-0.02999172:378.4257:0:0:0:1,251.1779:-0.02346998:391.3924:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.439:-0.0216223:399.7033:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
.631,Terrain,11768,None,True,240.393:-0.004999995:424.3809:0:0.9526902:0:-0.3039431,239.8003:-0.02999172:378.4257:0:0:0:1,251.1655:-0.02412397:391.4005:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.4246:-0.02192873:399.7166:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
.734,Terrain,11768,None,True,240.393:-0.005000114:424.3809:0:0.9500811:0:-0.3120029,239.8003:-0.02999172:378.4257:0:0:0:1,251.1594:-0.02459568:391.4031:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.4073:-0.02229735:399.7324:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
.814,Terrain,11768,None,True,240.393:-0.004999995:424.3809:0:0.9484702:0:-0.3168664,239.8003:-0.02999172:378.4257:0:0:0:1,251.1536:-0.02478805:391.4056:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3941:-0.0225794:399.7446:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
.896,Terrain,11768,None,True,240.393:-0.004999936:424.3809:0:0.9471951:0:-0.3206578,239.8003:-0.02999172:378.4257:0:0:0:1,251.1502:-0.02507973:391.4061:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3814:-0.02285162:399.7562:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
