Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd
.000,Terrain,104762,None,True,262.9717:0:450.5668:0:-0.9938502:0:0.1107332
.353,Terrain,104762,None,True,262.971:0.01846242:450.566:0:0.9938502:0:-0.1107332
.428,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.479,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.528,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.577,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.629,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.679,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.729,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.779,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.829,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.879,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.927,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.978,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.027,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.076,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.126,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.176,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.226,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.275,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.325,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.375,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.424,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.474,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.524,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.573,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.623,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.673,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.723,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.772,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.822,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
