Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,11490,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.353,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.412,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.480,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.548,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.608,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.668,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.711,Terrain,11490,None,True,248.4674:-0.005000114:423.1223:0:0.9932531:0:-0.1159677,238.1141:0.1115839:403.7122:0.002570628:0.2425573:-0.0006427203:0.9701335,254.1505:0.1115837:406.1739:0.003218293:-0.1610609:0.0005252007:0.9869391,219.1169:0.1115837:408.9374:0.001514747:0.5314402:-0.0009503048:0.847094,223.4755:0.1115839:396.552:0.00148558:0.3685013:-0.0005888801:0.9296259,239.0525:0.1115837:392.0285:0.0017749:0.1464783:-0.0002628195:0.9892123
.770,Terrain,11490,None,True,248.3654:-0.004999936:422.8796:0:0.9915337:0:-0.1298497,238.1141:0.1115839:403.7122:0.002601266:0.2430987:-0.0006519235:0.9699979,254.1505:0.1115837:406.1739:0.003251479:-0.1659124:0.0005470454:0.986135,219.1169:0.1115837:408.9374:0.001521379:0.5337153:-0.0009601743:0.8456623,223.4755:0.1115839:396.552:0.001494934:0.3696818:-0.0005947865:0.929157,239.0525:0.1115837:392.0285:0.001789434:0.1460599:-0.0002641981:0.9892741
.814,Terrain,11490,None,True,248.2764:-0.005000055:422.6677:0:0.9904652:0:-0.1377632,238.1141:0.1115839:403.7122:0.002628617:0.2435822:-0.000660171:0.9698765,254.1505:0.1115837:406.1739:0.003280682:-0.1702325:0.0005667543:0.9853983,219.1169:0.1115837:408.9374:0.001527165:0.5357208:-0.0009689019:0.8443933,223.4755:0.1115839:396.552:0.001503189:0.3707251:-0.0006000272:0.9287413,239.0525:0.1115837:392.0285:0.001802319:0.1456891:-0.0002654105:0.9893287
