Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
2.967,Terrain,110606,None,True,237.3561:-0.005000174:422.5684:0:-0.7369792:0:0.6759155,231.8614:-0.02999863:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4667:-0.01769951:399.7865:-0.000227897:-0.2737342:-6.48605E-05:0.9618054,239.8004:-0.02999812:378.4267:-0.0002826145:-0.02765544:-7.818818E-06:0.9996175,254.9539:0.07681632:386.5392:0.0009940122:-0.2252267:0.0002297821:0.9743059,235.2953:-0.03000036:392.9429:-0.0004206666:0.03471809:1.461355E-05:0.9993971,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2756:-0.0255374:391.3418:-0.0002937761:-0.2081281:-6.251198E-05:0.9781016,245.6403:-0.02999535:407.5729:-0.0007063986:-0.249691:-0.000182151:0.9683253,247.8217:-0.02999824:378.6172:-0.0002747623:-0.116617:-3.226209E-05:0.9931769,217.1331:-0.0300006:403.6469:-0.000414074:0.3979825:0.0001796332:0.9173929,223.6388:-0.02999595:397.3571:-0.0004219997:0.2465798:0.000107372:0.9691224
3.035,Terrain,110606,None,True,236.9261:-0.004999995:422.6934:0:-0.712469:0:0.7017036,231.8614:-0.02999863:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4646:-0.01824716:399.7889:-0.0002344538:-0.2790333:-6.81263E-05:0.9602814,239.8005:-0.02999732:378.4268:-0.0002816083:-0.03241492:-9.133109E-06:0.9994745,254.9543:0.07681429:386.5388:0.0009855886:-0.2292229:0.0002320995:0.9733734,235.2953:-0.03000107:392.9431:-0.0004193946:0.02737752:1.148629E-05:0.9996251,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2739:-0.02544785:391.3441:-0.0002897444:-0.2129651:-6.315419E-05:0.9770598,245.6403:-0.03000116:407.5734:-0.0006919717:-0.2584489:-0.0001851292:0.9660247,247.8218:-0.02999744:378.6174:-0.0002732672:-0.1208748:-3.327512E-05:0.9926677,217.1335:-0.03000316:403.6468:-0.000418787:0.3915377:0.0001781979:0.920162,223.6389:-0.02999592:397.3575:-0.000424181:0.239164:0.000104481:0.9709791
3.109,Terrain,110606,None,True,236.3609:-0.004999995:422.8907:0:-0.6803932:0:0.7328473,231.8614:-0.02999863:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4613:-0.01843145:399.7941:-0.0002332403:-0.2854905:-6.947953E-05:0.9583815,239.8005:-0.02999887:378.427:-0.0002800691:-0.03859179:-1.081642E-05:0.9992551,254.9552:0.07682097:386.5388:0.0009740656:-0.2342101:0.000234663:0.9721855,235.2953:-0.03000036:392.9433:-0.0004170743:0.01778372:7.418304E-06:0.9998418,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2713:-0.02530003:391.3493:-0.000283868:-0.2190054:-6.371541E-05:0.9757236,245.64:-0.02999535:407.5739:-0.000672152:-0.2689854:-0.0001877176:0.963144,247.8219:-0.02999792:378.6176:-0.0002711167:-0.1263159:-3.452288E-05:0.99199,217.1339:-0.03000209:403.6468:-0.0004246027:0.3824813:0.0001757674:0.9239631,223.6391:-0.02999589:397.3579:-0.0004264649:0.2290721:0.0001003598:0.9734094
3.212,Terrain,110606,None,True,235.72:-0.005000174:423.2543:0:-0.6140342:0:0.7892794,231.8614:-0.02999863:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4576:-0.02012366:399.8:-0.0002561172:-0.291212:-7.796346E-05:0.9566585,239.8005:-0.02999887:378.4271:-0.0002774001:-0.04537206:-1.259919E-05:0.9989702,254.9558:0.07682121:386.5387:0.0009584075:-0.2389618:0.0002358559:0.9710284,235.2953:-0.03000048:392.9435:-0.0004123491:0.00700647:2.889183E-06:0.9999754,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2681:-0.02539015:391.3541:-0.0002799292:-0.2248182:-6.458655E-05:0.9744007,245.6396:-0.02999535:407.5745:-0.0006469617:-0.2783108:-0.000187463:0.9604909,247.8219:-0.029998:378.6178:-0.0002678943:-0.1319918:-3.567194E-05:0.9912508,217.1344:-0.02999556:403.6469:-0.000429715:0.3702943:0.0001712978:0.9289144,223.6393:-0.02999568:397.3582:-0.000426986:0.2165209:9.469783E-05:0.9762779
3.255,Terrain,110606,None,True,235.5074:-0.005000055:423.4529:0:-0.5781487:0:0.8159314,231.8614:-0.02999863:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4552:-0.01793644:399.8036:-0.0002168577:-0.2923181:-6.628678E-05:0.9563211,239.8003:-0.02999789:378.4271:-0.0002760293:-0.04751043:-1.31291E-05:0.9988707,254.9561:0.07681549:386.5389:0.0009517585:-0.2400853:0.000235388:0.9707513,235.2953:-0.03000027:392.9437:-0.0004097038:0.003475643:1.423993E-06:0.9999939,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2666:-0.02422169:391.3556:-0.0002618102:-0.2262282:-6.080526E-05:0.9740743,245.6395:-0.02999532:407.5747:-0.0006369372:-0.2801864:-0.0001859076:0.9599454,247.8217:-0.02999508:378.6178:-0.0002663791:-0.1336237:-3.591666E-05:0.9910321,217.1345:-0.03000182:403.6471:-0.000430754:0.3652875:0.00016903:0.9308947,223.6393:-0.02999797:397.3584:-0.0004261191:0.211807:9.235029E-05:0.9773114
3.322,Terrain,110606,None,True,235.1875:-0.004999995:423.9305:0:-0.4957281:0:0.8684778,231.8614:-0.02999863:409.2593:-0.0008257187:0.1112393:9.242606E-05:0.9937933,251.4519:-0.01876986:399.8083:-0.0002263169:-0.2922878:-6.917032E-05:0.9563304,239.8004:-0.0299997:378.4272:-0.000272953:-0.05049351:-1.379996E-05:0.9987243,254.9569:0.07682088:386.5388:0.0009387765:-0.2407864:0.000232897:0.9705777,235.2952:-0.02999726:392.9439:-0.0004033533:-0.001738525:-7.012407E-07:0.9999985,240.3778:-0.02999508:409.3522:-0.0007958282:-0.170187:-0.0001374447:0.9854115,251.2658:-0.02535591:391.3562:-0.0002728512:-0.2272503:-6.36714E-05:0.9738364,245.6398:-0.0300014:407.575:-0.000618169:-0.280512:-0.0001806571:0.9598503,247.8219:-0.02999806:378.618:-0.0002632531:-0.1355426:-3.601437E-05:0.9907715,217.1348:-0.02999541:403.6474:-0.0004301661:0.3556799:0.0001637066:0.9346077,223.6395:-0.02999565:397.3588:-0.0004223357:0.2035531:8.780606E-05:0.9790638
3.421,Terrain,110606,None,True,235.0326:-0.004999995:424.6183:0:-0.3650368:0:0.9309931,231.8622:-0.03000399:409.2599:-0.0007930798:0.10161:8.100417E-05:0.994824,251.4495:-0.02157366:399.8129:-0.0002667687:-0.2881764:-8.028225E-05:0.9575773,239.8007:-0.02999753:378.4273:-0.0002688028:-0.05140786:-1.383687E-05:0.9986777,254.9569:0.07682317:386.5388:0.0009244212:-0.2387019:0.0002272298:0.9710925,235.2953:-0.03000161:392.944:-0.0003946496:-0.004145745:-1.636131E-06:0.9999914,240.3783:-0.02999941:409.3524:-0.0007618522:-0.1676183:-0.000129533:0.9858517,251.2658:-0.02543411:391.3563:-0.000268965:-0.2250718:-6.21306E-05:0.9743422,245.6402:-0.02999961:407.5752:-0.0005986988:-0.2747813:-0.0001710974:0.9615065,247.8222:-0.02999705:378.6181:-0.0002593734:-0.1351765:-3.538597E-05:0.9908215,217.1347:-0.02999538:403.6477:-0.0004253176:0.3459528:0.0001568234:0.9382518,223.6402:-0.02999693:397.3587:-0.0004147798:0.1966399:8.318643E-05:0.9804757
3.462,Terrain,110606,None,True,235.0429:-0.004999995:424.9035:0:-0.3103679:0:0.9506165,231.8622:-0.02999863:409.2603:-0.0007790645:0.100128:7.840017E-05:0.9949743,251.4476:-0.02014261:399.8158:-0.0002420715:-0.2855237:-7.211937E-05:0.9583716,239.8007:-0.02999812:378.4273:-0.0002671884:-0.05098515:-1.364038E-05:0.9986994,254.9568:0.07682163:386.5387:0.0009194648:-0.2371112:0.0002244152:0.9714821,235.2952:-0.03000048:392.944:-0.0003911119:-0.003946434:-1.543509E-06:0.9999921,240.378:-0.02999744:409.3522:-0.0007498612:-0.1644904:-0.0001250484:0.9863784,251.2644:-0.02532968:391.3588:-0.0002659118:-0.2233131:-6.092002E-05:0.9747468,245.6401:-0.02999562:407.5754:-0.0005922763:-0.271005:-0.00016675:0.9625778,247.8221:-0.03000057:378.618:-0.0002579714:-0.1342843:-3.495813E-05:0.9909428,217.1348:-0.02999544:403.6479:-0.0004223847:0.3429584:0.0001542133:0.9393505,223.6403:-0.02999568:397.3589:-0.0004111812:0.1949876:8.174426E-05:0.9808056
3.533,Terrain,110606,None,True,235.154:-0.004999936:425.3061:0:-0.208625:0:0.9779957,231.8624:-0.0300048:409.2602:-0.0007593688:0.1009945:7.70862E-05:0.9948867,251.4448:-0.01951945:399.8201:-0.0002303704:-0.2805573:-6.733653E-05:0.9598373,239.8006:-0.02999663:378.4273:-0.000264986:-0.04937752:-1.310033E-05:0.9987802,254.9562:0.076819:386.5379:0.0009136643:-0.2339309:0.0002198341:0.9722528,235.2951:-0.03000078:392.944:-0.0003862624:-0.002179029:-8.416788E-07:0.9999976,240.3782:-0.02999514:409.3527:-0.0007351802:-0.1575713:-0.0001173088:0.9875073,251.2634:-0.02552426:391.3615:-0.0002664482:-0.2197446:-6.001753E-05:0.9755574,245.6402:-0.02999565:407.5758:-0.0005852134:-0.2638828:-0.0001601026:0.9645546,247.8219:-0.02999625:378.618:-0.0002560898:-0.1320879:-3.412536E-05:0.991238,217.1349:-0.03000075:403.6479:-0.0004172472:0.3400484:0.0001508752:0.9404079,223.6405:-0.02999642:397.3587:-0.0004056241:0.1941506:8.027975E-05:0.9809717
3.598,Terrain,110606,None,True,235.3594:-0.005000114:425.4216:0:-0.02566572:0:0.9996706,231.8623:-0.02999496:409.2602:-0.0007515093:0.1063492:8.037823E-05:0.9943286,251.4417:-0.02070111:399.8249:-0.0002495466:-0.2768195:-7.188863E-05:0.9609219,239.8006:-0.02999946:378.4273:-0.0002645088:-0.04709457:-1.247077E-05:0.9988904,254.9558:0.07681325:386.5377:0.0009139829:-0.2312959:0.0002172929:0.972883,235.2951:-0.03000125:392.944:-0.0003848964:0.0009896831:3.809257E-07:0.9999995,240.3781:-0.0299986:409.353:-0.0007340049:-0.1507872:-0.0001119587:0.988566,251.2621:-0.02584201:391.3638:-0.000270657:-0.2166899:-6.007602E-05:0.9762405,245.64:-0.02999562:407.576:-0.00058623:-0.2583612:-0.0001567821:0.9660482,247.8213:-0.02999797:378.6179:-0.0002558776:-0.129744:-3.348158E-05:0.9915475,217.135:-0.02999559:403.648:-0.0004137023:0.3414391:0.0001502858:0.9399038,223.641:-0.03000137:397.3586:-0.0004030366:0.196495:8.076931E-05:0.9805048
