Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,11490,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.353,Terrain,11490,None,True,247.3547:-0.005000174:421.7875:0:0.9676582:0:-0.2522654,238.1141:0.1115839:403.7122:0.002791647:0.2340992:-0.0006722041:0.9722085,254.1505:0.1115837:406.1739:0.003351287:-0.2038194:0.0006977075:0.9790025,219.1169:0.1115837:408.9374:0.00157996:0.5412027:-0.001016873:0.8408902,223.4755:0.1115839:396.552:0.00155882:0.3698927:-0.0006206146:0.929073,239.0525:0.1115837:392.0285:0.001869313:0.1356125:-0.0002558662:0.9907602
.415,Terrain,11490,None,True,247.1822:-0.005000055:421.4073:0:0.9778744:0:-0.2091931,238.1141:0.1115839:403.7122:0.002849858:0.2345764:-0.0006877008:0.9720933,254.1505:0.1115837:406.1739:0.00339998:-0.2128657:0.00074072:0.9770753,219.1169:0.1115837:408.9374:0.001591463:0.5449572:-0.00103437:0.8384618,223.4755:0.1115839:396.552:0.001575473:0.3717322:-0.0006308625:0.9283385,239.0525:0.1115837:392.0285:0.001894878:0.1345733:-0.0002573412:0.9909018
.482,Terrain,11490,None,True,247.0869:-0.005000114:420.8491:0:0.9868303:0:-0.1617595,238.1141:0.1115839:403.7122:0.002926207:0.2388385:-0.0007197234:0.9710547,254.1505:0.1115837:406.1739:0.003489382:-0.2224211:0.0007960582:0.9749442,219.1169:0.1115837:408.9374:0.001599549:0.5514413:-0.001057354:0.8342115,223.4755:0.1115839:396.552:0.001594244:0.376061:-0.0006470293:0.9265934,239.0525:0.1115837:392.0285:0.001930304:0.1355167:-0.0002640247:0.9907731
.553,Terrain,11490,None,True,247.0615:-0.004999995:420.4126:0:0.9911345:0:-0.1328625,238.1141:0.1115839:403.7122:0.002984088:0.2434497:-0.0007490139:0.9699087,254.1505:0.1115837:406.1739:0.003567429:-0.2289179:0.0008389311:0.9734389,219.1169:0.1115837:408.9374:0.00160277:0.556838:-0.00107448:0.8306189,223.4755:0.1115839:396.552:0.001607099:0.3800077:-0.00066024:0.9249817,239.0525:0.1115837:392.0285:0.001957835:0.1370757:-0.0002709296:0.9905586
.625,Terrain,11490,None,True,247.054:-0.004999995:419.8202:0:0.9948496:0:-0.1013624,238.1141:0.1115839:403.7122:0.003063131:0.2506321:-0.0007930348:0.9680772,254.1505:0.1115837:406.1739:0.00368131:-0.2374792:0.0008999877:0.9713852,219.1169:0.1115837:408.9374:0.001605001:0.5643667:-0.001097256:0.8255219,223.4755:0.1115839:396.552:0.001623494:0.3857399:-0.0006787798:0.9226059,239.0525:0.1115837:392.0285:0.001995805:0.1397055:-0.0002815869:0.990191
.697,Terrain,11490,None,True,247.0654:-0.004999995:419.3725:0:0.9969388:0:-0.07818605,238.1141:0.1115839:403.7122:0.003123244:0.2567261:-0.0008296283:0.9664788,254.1505:0.1115837:406.1739:0.003742249:-0.2417287:0.0009322634:0.9703363,219.1169:0.1115837:408.9374:0.00160518:0.5701817:-0.001114092:0.8215163,223.4755:0.1115839:396.552:0.001635132:0.3903269:-0.0006932266:0.9206746,239.0525:0.1115837:392.0285:0.002025009:0.142049:-0.0002905978:0.9898576
.769,Terrain,11490,None,True,247.098:-0.005000055:418.7741:0:0.9986167:0:-0.05258126,238.1141:0.1115839:403.7122:0.003204294:0.2656769:-0.0008830467:0.9640564,254.1505:0.1115837:406.1739:0.003742249:-0.2417287:0.0009322634:0.9703363,219.1169:0.1115837:408.9374:0.001603677:0.578077:-0.001136117:0.8159799,223.4755:0.1115839:396.552:0.001649832:0.3967436:-0.0007130849:0.9179277,239.0525:0.1115837:392.0285:0.002064856:0.145584:-0.000303848:0.9893437
.861,Terrain,11490,None,True,247.1428:-0.005000114:418.0246:0:0.9994996:0:-0.03163219,238.1141:0.1115839:403.7122:0.003309159:0.2776897:-0.0009565453:0.9606647,254.1505:0.1115837:406.1739:0.003742249:-0.2417287:0.0009322634:0.9703363,219.1169:0.1115837:408.9374:0.001600292:0.5880321:-0.00116343:0.8088352,223.4755:0.1115839:396.552:0.001667797:0.4050094:-0.000738779:0.9143108,239.0525:0.1115837:392.0285:0.002116716:0.1502847:-0.0003217652:0.9886405
.903,Terrain,11490,None,True,247.1541:-0.005000055:417.7243:0:0.9996082:0:-0.02799005,238.1141:0.1115839:403.7122:0.0033532:0.2825774:-0.0009878032:0.9592381,254.1505:0.1115837:406.1739:0.003742249:-0.2417287:0.0009322634:0.9703363,219.1169:0.1115837:408.9374:0.001598911:0.5920049:-0.001174495:0.805932,223.4755:0.1115839:396.552:0.001675204:0.4083173:-0.0007493274:0.9128383,239.0525:0.1115837:392.0285:0.002138355:0.1521202:-0.000329118:0.9883596
