Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab
.695,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9505454:0:-0.3105856,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.736,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9496428:0:-0.3133346,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.778,Terrain,28488,None,True,248.5:-0.005000055:423.2:0:0.9488386:0:-0.3157616,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.824,Terrain,28488,None,True,248.5:-0.005000055:423.2:0:0.9481228:0:-0.3179044,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.870,Terrain,28488,None,True,248.5:-0.004999936:423.2:0:0.9471951:0:-0.3206578,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.912,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9466621:0:-0.3222279,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.953,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.946189:0:-0.3236144,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.994,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9457693:0:-0.3248391,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.035,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9453971:0:-0.3259207,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.080,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9450672:0:-0.3268761,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.121,Terrain,28488,None,True,248.5:-0.005000055:423.2:0:0.9447749:0:-0.32772,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.171,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9443979:0:-0.3288049,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.215,Terrain,28488,None,True,248.5:-0.005000055:423.2:0:0.9441822:0:-0.3294238,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.259,Terrain,28488,None,True,248.5:-0.005000114:423.2:0:0.9439912:0:-0.3299706,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.305,Terrain,28488,None,True,248.5:-0.005000055:423.2:0:0.9438223:0:-0.3304537,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
