Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,11490,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.439,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.517,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.592,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.669,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.744,Terrain,11490,None,True,248.4667:-0.005000055:423.1227:0:0.9932227:0:-0.1162268,238.1141:0.1115839:403.7122:0.002570642:0.242541:-0.0006426783:0.9701375,254.1505:0.1115837:406.1739:0.003218193:-0.1610758:0.0005252343:0.9869367,219.1169:0.1115837:408.9374:0.001514777:0.5314327:-0.0009503049:0.8470986,223.4755:0.1115839:396.552:0.001485594:0.3684925:-0.0005888694:0.9296294,239.0525:0.1115837:392.0285:0.001774897:0.1464671:-0.0002627986:0.9892139
.785,Terrain,11490,None,True,248.4026:-0.004999995:422.9737:0:0.9919999:0:-0.1262387,238.1141:0.1115839:403.7122:0.002589468:0.2428415:-0.0006482369:0.9700623,254.1505:0.1115837:406.1739:0.003238412:-0.1640814:0.0005386666:0.9864414,219.1169:0.1115837:408.9374:0.001518923:0.5328175:-0.0009563716:0.8462282,223.4755:0.1115839:396.552:0.001491376:0.3692007:-0.0005924767:0.9293483,239.0525:0.1115837:392.0285:0.00178382:0.1461885:-0.0002636064:0.9892551
.862,Terrain,11490,None,True,248.2215:-0.004999995:422.555:0:0.9896674:0:-0.1433822,238.1141:0.1115839:403.7122:0.002643931:0.2436937:-0.0006643402:0.9698485,254.1505:0.1115837:406.1739:0.003295687:-0.1727618:0.000578064:0.984958,219.1169:0.1115837:408.9374:0.001530609:0.5367529:-0.0009737138:0.8437375,223.4755:0.1115839:396.552:0.001507873:0.3712145:-0.0006028181:0.9285458,239.0525:0.1115837:392.0285:0.001809395:0.1453785:-0.0002658721:0.9893745
.941,Terrain,11490,None,True,247.9457:-0.005000055:422.098:0:0.9815572:0:-0.1911686,238.1141:0.1115839:403.7122:0.002711973:0.2430645:-0.0006795672:0.9700061,254.1505:0.1115837:406.1739:0.003352079:-0.1847057:0.0006299916:0.982788,219.1169:0.1115837:408.9374:0.001547319:0.5407012:-0.0009945608:0.8412127,223.4755:0.1115839:396.552:0.001529084:0.3727264:-0.0006141883:0.9279399,239.0525:0.1115837:392.0285:0.001839781:0.1432845:-0.0002663611:0.9896798
.981,Terrain,11490,None,True,247.7583:-0.005000174:421.8914:0:0.974601:0:-0.2239485,238.1141:0.1115839:403.7122:0.002748742:0.2414656:-0.0006839684:0.9704053,254.1505:0.1115837:406.1739:0.003371547:-0.1919292:0.0006593605:0.9814028,219.1169:0.1115837:408.9374:0.001558166:0.5421736:-0.001005393:0.8402644,223.4755:0.1115839:396.552:0.001541165:0.3728265:-0.0006192341:0.9278996,239.0525:0.1115837:392.0285:0.001855148:0.1413578:-0.0002649:0.9899568
1.055,Terrain,11490,None,True,247.5479:-0.004999995:421.8142:0:0.9609095:0:-0.2768626,238.1141:0.1115839:403.7122:0.00277364:0.2379047:-0.0006793705:0.9712843,254.1505:0.1115837:406.1739:0.003365283:-0.198401:0.0006812217:0.9801149,219.1169:0.1115837:408.9374:0.001569591:0.541953:-0.001012182:0.8404067,223.4755:0.1115839:396.552:0.001550927:0.371516:-0.0006206149:0.928425,239.0525:0.1115837:392.0285:0.001863848:0.1384736:-0.0002606047:0.9903644
1.132,Terrain,11490,None,True,247.2568:-0.005000055:421.7668:0:0.9366904:0:-0.3501588,238.1141:0.1115839:403.7122:0.002801595:0.2322319:-0.0006689103:0.9726562,254.1505:0.1115837:406.1739:0.00334526:-0.2066315:0.0007064869:0.9784129,219.1169:0.1115837:408.9374:0.001585304:0.5409073:-0.001019525:0.8410802,223.4755:0.1115839:396.552:0.001563026:0.3691303:-0.0006208039:0.9293761,239.0525:0.1115837:392.0285:0.001872469:0.1341879:-0.0002535563:0.9909541
1.177,Terrain,11490,None,True,247.0416:-0.005000055:421.7248:0:0.9221797:0:-0.3867618,238.1141:0.1115839:403.7122:0.002823136:0.2280443:-0.0006612258:0.9736465,254.1505:0.1115837:406.1739:0.003331023:-0.2127452:0.0007252663:0.9771018,219.1169:0.1115837:408.9374:0.001597161:0.5402082:-0.001025276:0.8415293,223.4755:0.1115839:396.552:0.001572247:0.3674084:-0.0006210975:0.9300582,239.0525:0.1115837:392.0285:0.001879184:0.1310247:-0.000248361:0.9913773
1.246,Terrain,11490,None,True,246.533:-0.004999995:421.6397:0:0.8940477:0:-0.4479718,238.1141:0.1115839:403.7122:0.002872496:0.217759:-0.0006408943:0.9759982,254.1505:0.1115837:406.1739:0.003293003:-0.2268363:0.0007669698:0.973927,219.1169:0.1115837:408.9374:0.001625775:0.5383359:-0.001038547:0.8427282,223.4755:0.1115839:396.552:0.001593958:0.3631311:-0.0006212227:0.9317365,239.0525:0.1115837:392.0285:0.001894015:0.1234081:-0.0002355377:0.9923542
1.323,Terrain,11490,None,True,245.9915:-0.004999995:421.4904:0:0.8833718:0:-0.4686729,238.1141:0.1115839:403.7122:0.002932747:0.2070373:-0.0006206382:0.9783285,254.1505:0.1115837:406.1739:0.003258822:-0.2422906:0.0008138359:0.9701979,219.1169:0.1115837:408.9374:0.001657776:0.5370255:-0.001055366:0.8435637,223.4755:0.1115839:396.552:0.001619266:0.3590002:-0.000622838:0.9333358,239.0525:0.1115837:392.0285:0.001912978:0.1153972:-0.0002222374:0.9933175
1.402,Terrain,11490,None,True,245.5099:-0.004999995:421.1938:0:0.8962995:0:-0.4434491,238.1141:0.1115839:403.7122:0.003009627:0.1987794:-0.0006104366:0.9800395,254.1505:0.1115837:406.1739:0.003250035:-0.2580642:0.000868128:0.9661219,219.1169:0.1115837:408.9374:0.00168858:0.5379664:-0.001077625:0.8429639,223.4755:0.1115839:396.552:0.001647357:0.3567591:-0.000629108:0.9341948,239.0525:0.1115837:392.0285:0.001939833:0.1087311:-0.0002121786:0.9940693
1.479,Terrain,11490,None,True,245.2299:-0.004999995:420.8769:0:0.9148882:0:-0.4037073,238.1141:0.1115839:403.7122:0.003076721:0.195233:-0.0006124663:0.9807519,254.1505:0.1115837:406.1739:0.003264257:-0.2693032:0.0009128033:0.9630495,219.1169:0.1115837:408.9374:0.001708104:0.5404514:-0.001097192:0.8413728,223.4755:0.1115839:396.552:0.001668678:0.3567945:-0.0006373229:0.9341812,239.0525:0.1115837:392.0285:0.001964843:0.1052785:-0.000208012:0.9944409
1.520,Terrain,11490,None,True,245.0573:-0.005000055:420.497:0:0.9379671:0:-0.3467241,238.1141:0.1115839:403.7122:0.003147593:0.1948569:-0.0006253198:0.9808264,254.1505:0.1115837:406.1739:0.003299283:-0.2790697:0.0009588292:0.9602647,219.1169:0.1115837:408.9374:0.001721599:0.5445:-0.001117617:0.8387584,223.4755:0.1115839:396.552:0.001688029:0.3585995:-0.000648455:0.9334898,239.0525:0.1115837:392.0285:0.00199268:0.1037541:-0.000207871:0.994601
1.605,Terrain,11490,None,True,244.9324:-0.004999995:419.9404:0:0.9593657:0:-0.2821658,238.1141:0.1115839:403.7122:0.003246257:0.1975687:-0.0006542586:0.9802834,254.1505:0.1115837:406.1739:0.003366335:-0.2907513:0.001022966:0.9567922,219.1169:0.1115837:408.9374:0.001732987:0.5513207:-0.001145202:0.8342908,223.4755:0.1115839:396.552:0.001711478:0.3627119:-0.0006661379:0.9318995,239.0525:0.1115837:392.0285:0.002032555:0.1036265:-0.0002117671:0.9946142
1.685,Terrain,11490,None,True,244.8108:-0.004999995:419.3649:0:0.969012:0:-0.2470136,238.1141:0.1115839:403.7122:0.003354116:0.2007571:-0.0006873608:0.9796351,254.1505:0.1115837:406.1739:0.003436731:-0.3031965:0.001093485:0.9529213,219.1169:0.1115837:408.9374:0.001743687:0.5585471:-0.001174161:0.8294702,223.4755:0.1115839:396.552:0.001735877:0.3671746:-0.0006852332:0.9301502,239.0525:0.1115837:392.0285:0.002075353:0.1036196:-0.0002162116:0.9946148
1.758,Terrain,11490,None,True,244.7023:-0.004999995:418.9319:0:0.9731365:0:-0.230229,238.1141:0.1115839:403.7122:0.003441712:0.2028411:-0.0007129463:0.9792054,254.1505:0.1115837:406.1739:0.003486799:-0.3133457:0.001150523:0.949632,219.1169:0.1115837:408.9374:0.001752439:0.5639769:-0.001196839:0.8257878,223.4755:0.1115839:396.552:0.001755354:0.370437:-0.0007000529:0.9288557,239.0525:0.1115837:392.0285:0.002109093:0.1033139:-0.0002190715:0.9946465
1.831,Terrain,11490,None,True,244.5377:-0.004999995:418.3567:0:0.9769881:0:-0.2132939,238.1141:0.1115839:403.7122:0.003567561:0.2052115:-0.0007480294:0.9787109,254.1505:0.1115837:406.1739:0.003548602:-0.3278335:0.001231413:0.9447281,219.1169:0.1115837:408.9374:0.001764898:0.5712039:-0.001228204:0.8208054,223.4755:0.1115839:396.552:0.001782741:0.3746679:-0.0007204129:0.9271571,239.0525:0.1115837:392.0285:0.002156072:0.1025209:-0.0002222138:0.9947285
1.903,Terrain,11490,None,True,244.3629:-0.004999995:417.7825:0:0.9797916:0:-0.2000208,238.1141:0.1115839:403.7122:0.003703846:0.2074542:-0.0007854723:0.9782375,254.1505:0.1115837:406.1739:0.003605864:-0.3431257:0.001317245:0.9392817,219.1169:0.1115837:408.9374:0.001777407:0.5785099:-0.001260613:0.8156725,223.4755:0.1115839:396.552:0.001811273:0.3789164:-0.0007416249:0.9254288,239.0525:0.1115837:392.0285:0.002205312:0.1014994:-0.0002250004:0.9948332
1.984,Terrain,11490,None,True,244.1849:-0.005000055:417.2084:0:0.9819257:0:-0.1892668,238.1141:0.1115839:403.7122:0.003739627:0.2080194:-0.0007953186:0.9781172,254.1505:0.1115837:406.1739:0.003619513:-0.3470554:0.001339435:0.9378367,219.1169:0.1115837:408.9374:0.001789444:0.5859469:-0.001293915:0.8103465,223.4755:0.1115839:396.552:0.001840687:0.3832734:-0.0007638168:0.9236329,239.0525:0.1115837:392.0285:0.002256903:0.1003679:-0.0002276708:0.9949479
2.056,Terrain,11490,None,True,244.051:-0.005000055:416.7777:0:0.9831716:0:-0.1826844,238.1141:0.1115839:403.7122:0.003739627:0.2080194:-0.0007953186:0.9781172,254.1505:0.1115837:406.1739:0.003619513:-0.3470554:0.001339435:0.9378367,219.1169:0.1115837:408.9374:0.001797989:0.5916227:-0.001319418:0.806212,223.4755:0.1115839:396.552:0.001863252:0.3866388:-0.0007811569:0.9222291,239.0525:0.1115837:392.0285:0.002297216:0.09947855:-0.0002296636:0.995037
2.129,Terrain,11490,None,True,243.8731:-0.004999995:416.2032:0:0.9845012:0:-0.1753781,238.1141:0.1115839:403.7122:0.003739627:0.2080194:-0.0007953186:0.9781172,254.1505:0.1115837:406.1739:0.003619513:-0.3470554:0.001339435:0.9378367,219.1169:0.1115837:408.9374:0.001808596:0.5993254:-0.001354071:0.8005024,223.4755:0.1115839:396.552:0.001893973:0.3912738:-0.0008052639:0.9202721,239.0525:0.1115837:392.0285:0.002353262:0.09825405:-0.0002323423:0.9951586
2.202,Terrain,11490,None,True,243.6908:-0.004999995:415.6299:0:0.9851316:0:-0.1718017,238.1141:0.1115839:403.7122:0.003739627:0.2080194:-0.0007953186:0.9781172,254.1505:0.1115837:406.1739:0.003619513:-0.3470554:0.001339435:0.9378367,219.1169:0.1115837:408.9374:0.001818617:0.6071336:-0.001389566:0.7945964,223.4755:0.1115839:396.552:0.001925664:0.3960083:-0.0008304751:0.9182445,239.0525:0.1115837:392.0285:0.002412066:0.09687421:-0.0002347719:0.9952937
2.278,Terrain,11490,None,True,243.5261:-0.004999995:415.2118:0:0.9827313:0:-0.1850382,238.1141:0.1115839:403.7122:0.003739627:0.2080194:-0.0007953186:0.9781172,254.1505:0.1115837:406.1739:0.003619513:-0.3470554:0.001339435:0.9378367,219.1169:0.1115837:408.9374:0.001827741:0.6127969:-0.001417339:0.7902371,223.4755:0.1115839:396.552:0.001951262:0.3992097:-0.0008496009:0.9168572,239.0525:0.1115837:392.0285:0.00245762:0.09516871:-0.0002349556:0.9954581
2.358,Terrain,11490,None,True,243.2169:-0.005000055:414.7078:0:0.9740619:0:-0.2262818,238.1141:0.1115839:403.7122:0.003739627:0.2080194:-0.0007953186:0.9781172,254.1505:0.1115837:406.1739:0.003619513:-0.3470554:0.001339435:0.9378367,219.1169:0.1115837:408.9374:0.001846809:0.6193314:-0.001456819:0.7851261,223.4755:0.1115839:396.552:0.001990106:0.4019135:-0.0008735094:0.915675,239.0525:0.1115837:392.0285:0.002517568:0.09067553:-0.0002292269:0.9958773
2.429,Terrain,11490,None,True,242.8548:-0.005000174:414.2367:0:0.9686453:0:-0.2484475,238.1141:0.1115839:403.7122:0.003739627:0.2080194:-0.0007953186:0.9781172,254.1505:0.1115837:406.1739:0.003619513:-0.3470554:0.001339435:0.9378367,219.1169:0.1115837:408.9374:0.0018702:0.6253468:-0.00149873:0.7803432,223.4755:0.1115839:396.552:0.002032769:0.4036862:-0.0008969343:0.9148948,239.0525:0.1115837:392.0285:0.002577833:0.08468286:-0.000219086:0.9964046
