Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.982,Terrain,37656,None,True,247.4971:-0.005000114:421.7836:0:0.9903747:0:-0.1384123,251.8535:0.08712769:399.5573:0.002024274:-0.09662221:0.0001965096:0.9953191,240.2394:0.08712769:378.4684:0.001045223:0.08291201:-8.696097E-05:0.9965563,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.00143431:0.1936206:-0.000283069:0.9810754,246.5558:0.08712769:378.4684:0.001063141:0.01086463:-1.155133E-05:0.9999405,254.9346:0.08712769:386.67:0.001276396:-0.1041731:0.0001336936:0.9945584,231.7596:0.08712769:409.3763:0.002068128:0.4363933:-0.001003072:0.8997531,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001118628:0.4953696:-0.0006379029:0.8686814,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001502652:-0.0593266:8.930464E-05:0.9982375,224.8722:0.08712769:397.123:0.001282661:0.3627223:-0.0004992504:0.9318963
1.032,Terrain,37656,None,True,247.4871:-0.004999936:421.7783:0:0.9933733:0:-0.1149321,251.8535:0.08712769:399.5573:0.002024513:-0.09686139:0.0001970239:0.9952958,240.2394:0.08712769:378.4684:0.001045393:0.08280937:-8.686673E-05:0.9965649,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001434736:0.1935071:-0.0002829805:0.9810978,246.5558:0.08712769:378.4684:0.001063276:0.01074993:-1.14308E-05:0.9999416,254.9346:0.08712769:386.67:0.001276482:-0.1043246:0.0001338992:0.9945425,231.7596:0.08712769:409.3763:0.00206933:0.4363466:-0.001003522:0.8997757,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001118986:0.4953626:-0.000638095:0.8686854,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001502832:-0.05949967:8.957685E-05:0.9982272,224.8722:0.08712769:397.123:0.001283097:0.3626688:-0.0004993354:0.9319171
1.081,Terrain,37656,None,True,247.4724:-0.004999995:421.7692:0:0.9956101:0:-0.09359843,251.8535:0.08712769:399.5573:0.002024987:-0.09721685:0.0001978002:0.9952611,240.2394:0.08712769:378.4684:0.001045678:0.08266191:-8.673462E-05:0.9965771,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.00143542:0.193349:-0.0002828753:0.9811289,246.5558:0.08712769:378.4684:0.001063509:0.0105826:-1.125533E-05:0.9999434,254.9346:0.08712769:386.67:0.001276661:-0.1045499:0.0001342104:0.9945188,231.7596:0.08712769:409.3763:0.002071155:0.4363025:-0.001004282:0.8997971,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001119524:0.4953668:-0.0006384091:0.868683,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001503168:-0.05975536:8.998325E-05:0.9982119,224.8722:0.08712769:397.123:0.001283771:0.3626036:-0.0004994943:0.9319425
1.133,Terrain,37656,None,True,247.4582:-0.004999995:421.7592:0:0.9959227:0:-0.09021036,251.8535:0.08712769:399.5573:0.002025548:-0.09756476:0.0001985699:0.9952271,240.2394:0.08712769:378.4684:0.00104598:0.08252202:-8.661186E-05:0.9965887,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001436128:0.1932038:-0.000282794:0.9811575,246.5558:0.08712769:378.4684:0.001063763:0.01042157:-1.108669E-05:0.9999452,254.9346:0.08712769:386.67:0.001276873:-0.1047707:0.0001345193:0.9944956,231.7596:0.08712769:409.3763:0.002072971:0.4362815:-0.001005103:0.8998073,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001120053:0.4953835:-0.0006387393:0.8686734,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001503549:-0.06000425:9.038232E-05:0.998197,224.8722:0.08712769:397.123:0.001284448:0.3625521:-0.0004996762:0.9319625
1.183,Terrain,37656,None,True,247.4248:-0.004999995:421.7302:0:0.9950275:0:-0.09960028,251.8535:0.08712769:399.5573:0.002027347:-0.09841065:0.0002004861:0.9951438,240.2394:0.08712769:378.4684:0.001046822:0.0822016:-8.634273E-05:0.9966152,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001438025:0.1928929:-0.0002826942:0.9812188,246.5558:0.08712769:378.4684:0.001064498:0.01004236:-1.069062E-05:0.999949,254.9346:0.08712769:386.67:0.001277563:-0.1053081:0.0001352901:0.9944388,231.7596:0.08712769:409.3763:0.002077514:0.436329:-0.001007441:0.8997843,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001121349:0.4954807:-0.0006396446:0.8686181,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001504716:-0.06060321:9.135865E-05:0.9981608,224.8722:0.08712769:397.123:0.001286179:0.3624822:-0.0005002385:0.9319897
1.233,Terrain,37656,None,True,247.3919:-0.005000174:421.6955:0:0.9934583:0:-0.1141955,251.8535:0.08712769:399.5573:0.002029652:-0.09927129:0.0002024868:0.9950583,240.2394:0.08712769:378.4684:0.001047798:0.08189723:-8.610103E-05:0.9966403,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001440149:0.1926224:-0.0002826994:0.9812719,246.5558:0.08712769:378.4684:0.001065375:0.009670066:-1.030273E-05:0.9999527,254.9346:0.08712769:386.67:0.001278455:-0.1058554:0.0001360962:0.9943807,231.7596:0.08712769:409.3763:0.002082284:0.4364849:-0.0010102:0.8997086,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.00112268:0.4956409:-0.0006406786:0.8685266,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001506166:-0.0612058:9.235933E-05:0.9981241,224.8722:0.08712769:397.123:0.001288034:0.3624711:-0.0005009421:0.931994
1.283,Terrain,37656,None,True,247.3224:-0.005000055:421.6237:0:0.9897674:0:-0.1426906,251.8535:0.08712769:399.5573:0.002034358:-0.1010895:0.0002067116:0.9948753,240.2394:0.08712769:378.4684:0.001049819:0.08124893:-8.557963E-05:0.9966933,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.00144458:0.1920382:-0.000282676:0.9813864,246.5558:0.08712769:378.4684:0.001067183:0.008880818:-9.477838E-06:0.99996,254.9346:0.08712769:386.67:0.001280274:-0.10701:0.0001377934:0.9942572,231.7596:0.08712769:409.3763:0.00209235:0.4367867:-0.001015951:0.8995621,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001125484:0.4959631:-0.000642832:0.8683426,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001509138:-0.06247989:9.44755E-05:0.9980451,224.8722:0.08712769:397.123:0.001291923:0.3624317:-0.000502392:0.9320093
1.332,Terrain,37656,None,True,247.2563:-0.004999995:421.5543:0:0.9854974:0:-0.1696908,251.8535:0.08712769:399.5573:0.002038935:-0.1028312:0.000210784:0.9946967,240.2394:0.08712769:378.4684:0.001051776:0.08063302:-8.508494E-05:0.9967433,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001448868:0.1914875:-0.0002826712:0.9814939,246.5558:0.08712769:378.4684:0.001068937:0.008128651:-8.689309E-06:0.9999664,254.9346:0.08712769:386.67:0.001282044:-0.1081141:0.0001394244:0.9941376,231.7596:0.08712769:409.3763:0.002102064:0.4370998:-0.001021572:0.8994099,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001128171:0.4962848:-0.0006449214:0.8681589,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001512028:-0.06369802:9.650929E-05:0.9979681,224.8722:0.08712769:397.123:0.001295673:0.3624066:-0.0005038099:0.9320191
1.382,Terrain,37656,None,True,247.094:-0.005000055:421.4059:0:0.9767168:0:-0.214533,251.8535:0.08712769:399.5573:0.00204816:-0.1070397:0.0002205017:0.9942526,240.2394:0.08712769:378.4684:0.001056077:0.07906974:-8.376603E-05:0.9968686,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.00145857:0.1899888:-0.0002822532:0.9817852,246.5558:0.08712769:378.4684:0.001072703:0.006266779:-6.722526E-06:0.9999798,254.9346:0.08712769:386.67:0.001285608:-0.1107719:0.0001432912:0.993845,231.7596:0.08712769:409.3763:0.002125284:0.4374767:-0.001033957:0.8992267,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001134642:0.4968447:-0.0006495917:0.8678385,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001518025:-0.06666231:0.0001014208:0.9977744,224.8722:0.08712769:397.123:0.001304446:0.3621308:-0.0005067769:0.9321263
1.432,Terrain,37656,None,True,246.9234:-0.004999995:421.2792:0:0.968658:0:-0.2483983,251.8535:0.08712769:399.5573:0.00205515:-0.1113614:0.0002302973:0.9937778,240.2394:0.08712769:378.4684:0.001059919:0.07736149:-8.224342E-05:0.9970026,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001467645:0.1882208:-0.0002812689:0.9821256,246.5558:0.08712769:378.4684:0.001075934:0.004293002:-4.619033E-06:0.9999902,254.9346:0.08712769:386.67:0.001288306:-0.1134899:0.0001471606:0.9935383,231.7596:0.08712769:409.3763:0.002148858:0.4373469:-0.001045043:0.8992897,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001141273:0.497129:-0.0006538845:0.8676757,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001522854:-0.06973648:0.0001064578:0.9975643,224.8722:0.08712769:397.123:0.001313081:0.3615567:-0.0005092013:0.932349
