Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd
.000,Terrain,9296,None,True,262.9717:0:450.5668:0:-0.9938502:0:0.1107332
.409,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.451,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.495,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.553,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.593,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.633,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.692,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.733,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.792,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.832,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.891,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.931,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.989,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.042,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.095,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.147,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.204,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.260,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.315,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.371,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.427,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.485,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.525,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.581,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
