Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd
.000,Terrain,16110,None,True,260.2622:0:445.2538:0:-0.9759188:0:0.2181343
2.956,Terrain,16110,None,True,254.3929:0.01806998:430.5368:0:0.9566756:0:-0.2911561
3.006,Terrain,16110,None,True,254.0766:0.01089901:430.2087:0:0.952188:0:-0.3055128
3.055,Terrain,16110,None,True,253.8647:0.004060149:429.9892:0:0.9495293:0:-0.3136782
3.105,Terrain,16110,None,True,253.5488:-0.0009893775:429.6621:0:0.9460063:0:-0.3241483
3.155,Terrain,16110,None,True,253.3397:-0.003822088:429.4431:0:0.9445096:0:-0.3284839
3.205,Terrain,16110,None,True,253.0474:-0.005554259:429.0992:0:0.9465283:0:-0.322621
3.254,Terrain,16110,None,True,252.877:-0.005332291:428.8544:0:0.9505867:0:-0.3104592
3.304,Terrain,16110,None,True,252.6716:-0.005183697:428.4605:0:0.9591208:0:-0.2829971
3.354,Terrain,16110,None,True,252.5662:-0.005101383:428.1842:0:0.9649425:0:-0.2624615
3.403,Terrain,16110,None,True,252.4253:-0.005001605:427.761:0:0.9700024:0:-0.2430954
3.453,Terrain,16110,None,True,252.3198:-0.005000055:427.4821:0:0.9703863:0:-0.2415583
3.503,Terrain,16110,None,True,252.1248:-0.005000174:427.0806:0:0.968035:0:-0.2508155
3.552,Terrain,16110,None,True,251.9639:-0.005000174:426.8322:0:0.9641135:0:-0.2654905
3.602,Terrain,16110,None,True,251.691:-0.005000234:426.4809:0:0.9587386:0:-0.2842895
3.652,Terrain,16110,None,True,251.4968:-0.005000055:426.2549:0:0.9555045:0:-0.2949765
3.702,Terrain,16110,None,True,251.1957:-0.005000055:425.9224:0:0.9511682:0:-0.308673
3.751,Terrain,16110,None,True,250.9913:-0.005000055:425.7032:0:0.9486046:0:-0.3164636
3.801,Terrain,16110,None,True,250.6815:-0.005000234:425.3763:0:0.9452131:0:-0.326454
3.851,Terrain,16110,None,True,250.4753:-0.005000055:425.1578:0:0.9437425:0:-0.3306813
3.900,Terrain,16110,None,True,250.1722:-0.005000055:424.8242:0:0.9428114:0:-0.3333266
3.950,Terrain,16110,None,True,249.9764:-0.004999995:424.5963:0:0.9432067:0:-0.3322066
4.000,Terrain,16110,None,True,249.7866:-0.004999995:424.3635:0:0.9439719:0:-0.3300258
4.049,Terrain,16110,None,True,249.5096:-0.004999995:424.0078:0:0.9450659:0:-0.32688
4.099,Terrain,16110,None,True,249.328:-0.005000234:423.7683:0:0.9456854:0:-0.3250831
4.149,Terrain,16110,None,True,249.0579:-0.005000055:423.4071:0:0.9464773:0:-0.3227705
4.199,Terrain,16110,None,True,248.8788:-0.005000114:423.1656:0:0.9469266:0:-0.3214499
4.248,Terrain,16110,None,True,248.6108:-0.005000055:422.8027:0:0.9475018:0:-0.3197505
4.298,Terrain,16110,None,True,248.4324:-0.005000055:422.5605:0:0.9478287:0:-0.3187803
4.348,Terrain,16110,None,True,248.1651:-0.005000114:422.1971:0:0.9482476:0:-0.3175321
4.397,Terrain,16110,None,True,248.0399:-0.005000114:422.0268:0:0.9482476:0:-0.3175321
4.447,Terrain,16110,None,True,247.9384:-0.005000114:421.8887:0:0.9482476:0:-0.3175321
