Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,110606,None,True,240.393:0:424.3809:0:-0.9938502:0:0.1107332,231.859:0:409.2561:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,239.8003:0:378.4259:0:0:0:1,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844,235.2962:0.2906466:392.9454:0:0:0:1,240.3786:0:409.3502:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,245.6428:0:407.5663:0:0.9996465:0:0.02658921,247.8209:0:378.6161:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,223.6364:0:397.3542:0:0:0:1
4.806,Terrain,110606,None,True,242.2144:-0.005000055:420.455:0:0.6509876:0:0.7590885,231.8612:-0.02999601:409.26:-0.0007632101:0.3645733:0.000298812:0.9311743,251.3876:-0.02367938:399.935:-0.0004063731:-0.2086509:-8.669835E-05:0.9779901,239.8006:-0.02999786:378.4302:-0.0002968058:0.02868281:8.516728E-06:0.9995885,254.9548:0.07681516:386.523:0.001110489:-0.1786269:0.0002016057:0.9839162,235.2955:-0.02999893:392.9489:-0.0004373547:0.1229011:5.416196E-05:0.9924188,240.6823:-0.005732268:419.8788:0.01643723:0.899288:0.03392428:-0.4357294,251.2384:-0.02977836:391.4373:-0.0004030682:-0.1501816:-6.122785E-05:0.9886584,245.6415:-0.02999517:407.5696:-0.0008093865:-0.2137329:-0.0001770846:0.9768918,247.8203:-0.02999815:378.6216:-0.0002954779:-0.06655735:-1.970993E-05:0.9977826,217.1394:-0.03000093:403.6539:-0.0003653735:0.4708306:0.0001949948:0.8822236,223.6344:-0.02999443:397.3684:-0.000397734:0.3323819:0.0001401689:0.9431448
4.878,Terrain,110606,None,True,242.4004:-0.004999995:420.855:0:0.5832471:0:0.8122948,231.8613:-0.0299978:409.2603:-0.0007440399:0.360562:0.0002876192:0.9327349,251.3856:-0.02278286:399.9397:-0.0003825871:-0.20149:-7.87016E-05:0.9794905,239.8007:-0.02999634:378.4302:-0.0002939065:0.03059606:8.996596E-06:0.9995318,254.9548:0.07681438:386.5225:0.001101881:-0.1743867:0.0001951437:0.9846767,235.2955:-0.03000054:392.9489:-0.0004307231:0.1243288:5.397004E-05:0.992241,240.6827:-0.005315572:419.8791:0.01643723:0.899288:0.03392428:-0.4357294,251.2382:-0.02998453:391.4375:-0.0004023739:-0.1454064:-5.913624E-05:0.989372,245.6415:-0.02999517:407.5696:-0.0008093865:-0.2137329:-0.0001770846:0.9768918,247.8203:-0.02999547:378.6216:-0.0002929162:-0.06377365:-1.871844E-05:0.9979644,217.1395:-0.02999994:403.654:-0.0003615599:0.467526:0.0001912247:0.8839793,223.6346:-0.0299961:397.3683:-0.0003923354:0.3307172:0.0001374886:0.9437298
4.950,Terrain,110606,None,True,242.5419:-0.005000055:421.4206:0:0.4733327:0:0.8808838,231.8624:-0.02999973:409.2596:-0.0007227332:0.3525673:0.0002722973:0.9357862,251.3847:-0.02476376:399.9443:-0.000417386:-0.1940563:-8.256597E-05:0.9809903,239.8003:-0.02999872:378.4304:-0.0002900122:0.03183849:9.238235E-06:0.999493,254.9539:0.07682154:386.5216:0.001088406:-0.1700216:0.0001877868:0.9854397,235.2949:-0.03000075:392.9492:-0.0004221821:0.1243005:5.288761E-05:0.9922445,240.6783:-0.006445438:419.8762:0.01643723:0.899288:0.03392428:-0.4357294,251.2376:-0.02999663:391.4373:-0.0003963647:-0.140668:-5.63158E-05:0.9900568,245.6415:-0.02999517:407.5696:-0.0008093865:-0.2137329:-0.0001770846:0.9768918,247.8195:-0.02999818:378.6217:-0.0002893013:-0.06130699:-1.776961E-05:0.9981189,217.1406:-0.02999571:403.6528:-0.000357573:0.461965:0.0001862516:0.8868981,223.6355:-0.02999666:397.3675:-0.0003860667:0.3269576:0.0001335685:0.9450389
4.993,Terrain,110606,None,True,242.554:-0.004999995:421.7094:0:0.4114218:0:0.9114451,231.8627:-0.02999529:409.2598:-0.0007141473:0.3473855:0.0002645607:0.9377221,251.3835:-0.02418718:399.9473:-0.0004009344:-0.1915271:-7.823821E-05:0.9814873,239.8003:-0.02999854:378.4304:-0.0002880789:0.03176442:9.155278E-06:0.9994953,254.9536:0.07681862:386.5209:0.001080796:-0.1685864:0.0001848535:0.9856863,235.2949:-0.03000063:392.9491:-0.000418206:0.123303:5.196257E-05:0.992369,240.6756:-0.005087644:419.8741:0.01643723:0.899288:0.03392428:-0.4357294,251.2374:-0.02999723:391.4374:-0.0003930077:-0.1392207:-5.525288E-05:0.9902613,245.6415:-0.02999517:407.5696:-0.0008093865:-0.2137329:-0.0001770846:0.9768918,247.8195:-0.02999502:378.6217:-0.0002873744:-0.06076358:-1.749422E-05:0.9981521,217.1408:-0.02999574:403.6529:-0.0003562349:0.4586932:0.0001838887:0.8885946,223.6356:-0.02999565:397.3677:-0.0003834739:0.3243658:0.0001314956:0.9459317
5.050,Terrain,110606,None,True,242.4747:-0.005000055:422.1259:0:0.3067373:0:0.9517943,231.8629:-0.02999875:409.2601:-0.0007053511:0.3380475:0.0002533577:0.9411288,251.3829:-0.02403396:399.95:-0.0003909871:-0.1898301:-7.559569E-05:0.9818169,239.8004:-0.02999878:378.4304:-0.0002853886:0.03055888:8.725232E-06:0.9995329,254.9535:0.07681802:386.5209:0.001068934:-0.1677542:0.000181896:0.9858283,235.2953:-0.02999446:392.9489:-0.0004128952:0.1203438:5.005314E-05:0.9927322,240.6754:-0.005383164:419.874:0.01643723:0.899288:0.03392428:-0.4357294,251.2373:-0.02999625:391.4374:-0.0003878255:-0.138618:-5.428365E-05:0.9903459,245.6415:-0.02999517:407.5696:-0.0008093865:-0.2137329:-0.0001770846:0.9768918,247.8196:-0.02999288:378.6217:-0.0002845701:-0.06108513:-1.741552E-05:0.9981325,217.1408:-0.02999586:403.6531:-0.0003553207:0.4532247:0.0001806605:0.8913963,223.6357:-0.03000152:397.3676:-0.0003807498:0.3195218:0.0001283881:0.9475789
5.148,Terrain,110606,None,True,242.0187:-0.004999995:422.495:0:0.05595183:0:0.9984335,231.8642:-0.0299997:409.2595:-0.0007095403:0.3214064:0.0002408289:0.9469411,251.3834:-0.02488542:399.9506:-0.0003994211:-0.1955814:-7.965771E-05:0.9806874,239.8006:-0.02999929:378.4304:-0.000283218:0.02514512:7.123805E-06:0.9996838,254.9532:0.07681325:386.5208:0.00105415:-0.1717218:0.0001837501:0.9851449,235.2962:-0.0300006:392.9487:-0.0004099539:0.1116259:4.604928E-05:0.9937502,240.6713:-0.006385177:419.8713:0.01643723:0.899288:0.03392428:-0.4357294,251.2368:-0.02999604:391.4373:-0.0003817716:-0.143761:-5.545997E-05:0.9896124,245.6414:-0.02999619:407.57:-0.000808005:-0.1187795:-9.665876E-05:0.9929203,247.8193:-0.02999887:378.6217:-0.0002818307:-0.06567772:-1.855005E-05:0.9978409,217.1409:-0.02999571:403.6534:-0.000358615:0.4451115:0.0001782558:0.8954751,223.6367:-0.02999398:397.3671:-0.0003815482:0.3105672:0.0001246607:0.9505513
5.190,Terrain,110606,None,True,241.7789:-0.004999995:422.5111:0:-0.05092211:0:0.9987026,231.8644:-0.0299958:409.2598:-0.0007165564:0.315675:0.0002383884:0.9488671,251.3822:-0.0244534:399.9535:-0.0003887299:-0.199886:-7.930207E-05:0.9798191,239.8006:-0.02999887:378.4305:-0.0002832022:0.02242214:6.351595E-06:0.9997486,254.9535:0.07681525:386.5209:0.001050976:-0.1745571:0.000186316:0.9846465,235.2962:-0.02999926:392.9489:-0.0004106071:0.1077262:4.449207E-05:0.9941805,240.6686:-0.005066246:419.8692:0.01643723:0.899288:0.03392428:-0.4357294,251.2371:-0.03000793:391.4373:-0.0003807647:-0.1471985:-5.666525E-05:0.989107,245.6413:-0.02999586:407.5704:-0.0008034044:-0.1261529:-0.0001021681:0.9920105,247.8197:-0.02999577:378.6217:-0.0002814393:-0.06833554:-1.927737E-05:0.9976624,217.141:-0.02999568:403.6534:-0.000361164:0.4428341:0.0001783796:0.8966035,223.6368:-0.02999571:397.3672:-0.0003835591:0.3074521:0.0001239288:0.9515635
5.245,Terrain,110606,None,True,241.438:-0.004999995:422.3922:0:-0.2156229:0:0.9764767,231.8648:-0.02999854:409.2599:-0.0007312931:0.3097746:0.0002382559:0.9508097,251.3804:-0.02478036:399.9561:-0.0003942829:-0.2070594:-8.344843E-05:0.9783283,239.8006:-0.02999607:378.4305:-0.0002840477:0.0186136:5.288065E-06:0.9998267,254.9541:0.07682118:386.5206:0.001049951:-0.1791973:0.0001912443:0.9838126,235.2961:-0.02999875:392.9492:-0.0004133863:0.1026453:4.265746E-05:0.994718,240.6684:-0.005376667:419.8691:0.01643723:0.899288:0.03392428:-0.4357294,251.2372:-0.03000796:391.4375:-0.0003805928:-0.1526927:-5.880328E-05:0.9882737,245.6411:-0.03000095:407.5708:-0.0008036788:-0.1377264:-0.0001117528:0.99047,247.8196:-0.02999818:378.6218:-0.0002818328:-0.07232522:-2.043714E-05:0.9973811,217.1411:-0.02999586:403.6536:-0.000365534:0.4411864:0.0001797034:0.8974154,223.6369:-0.0300011:397.3672:-0.0003877495:0.3042443:0.0001238414:0.952594
5.286,Terrain,110606,None,True,241.2561:-0.004999995:422.2279:0:-0.3242544:0:0.9459699,231.865:-0.02999583:409.2602:-0.0007425615:0.3082846:0.0002406409:0.9512939,251.3791:-0.02473333:399.9589:-0.000394206:-0.2117139:-8.539465E-05:0.9773316,239.8006:-0.02999878:378.4307:-0.0002851956:0.01661006:4.737769E-06:0.999862,254.9546:0.07681355:386.5209:0.001051721:-0.182138:0.0001948171:0.9832724,235.2961:-0.03000093:392.9492:-0.0004162597:0.1002408:4.193742E-05:0.9949631,240.6682:-0.00567317:419.869:0.01643723:0.899288:0.03392428:-0.4357294,251.237:-0.02991432:391.4377:-0.000380149:-0.1560948:-6.007571E-05:0.987742,245.641:-0.02999574:407.5712:-0.0008083169:-0.1448383:-0.000118323:0.989455,247.8196:-0.02999032:378.6218:-0.0002825645:-0.07462893:-2.114646E-05:0.9972113,217.1412:-0.02999616:403.6535:-0.0003684164:0.4414658:0.0001812629:0.897278,223.637:-0.02999625:397.3673:-0.000390829:0.3034168:0.000124451:0.9528579
