Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
10.358,Terrain,18780,None,True,240.393:0:424.3809:0:-0.9938502:0:0.1107332,239.8003:0:378.4259:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,240.3786:0:409.3502:0:0:0:1,231.859:0:409.2561:0:0:0:1,223.6364:0:397.3542:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,247.8209:0:378.6161:0:0:0:1,235.2962:0.2906466:392.9454:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,245.6428:0:407.5663:0:0.9996465:0:0.02658921,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844
.056,Terrain,18780,None,True,240.393:-0.004925609:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.01177204:378.4259:-7.448275E-05:0.006448426:4.803064E-07:0.9999792,251.2971:0.06349361:391.3087:0.000969945:-0.158568:0.0001557732:0.9873476,240.3786:-0.01177204:409.3502:-0.000227748:0.0004801776:1.093595E-07:0.9999999,231.859:-0.01177204:409.2561:-0.0001906506:0.2540404:5.007577E-05:0.9671936,223.6364:-0.01177204:397.3542:-0.0001035305:0.2739511:2.949051E-05:0.9617437,251.5527:0.01052487:399.599:0.0002779018:-0.2099825:5.96852E-05:0.9777051,247.8209:-0.01177204:378.6161:-7.359517E-05:-0.08036421:-5.933609E-06:0.9967656,235.2962:0.2788745:392.9454:0.004441308:0.08028076:-0.0003577097:0.9967623,217.1309:-0.01177204:403.6449:-0.000100241:0.409015:4.493024E-05:0.9125277,245.6428:-0.01177204:407.5663:-0.0001921139:-0.1507354:-2.929307E-05:0.9885741,254.9462:0.08909324:386.5403:0.001140019:-0.1825466:0.0002116632:0.9831966
.106,Terrain,18780,None,True,240.393:-0.004999459:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02354407:378.4259:-0.0002017481:0.006448426:1.300985E-06:0.9999792,251.2971:0.05172157:391.3087:0.0008041059:-0.158568:0.0001291394:0.9873477,240.3786:-0.02354407:409.3502:-0.0006168906:0.0004801775:2.962171E-07:0.9999997,231.859:-0.02354407:409.2561:-0.0005164066:0.2540404:0.0001356379:0.9671935,223.6364:-0.02354407:397.3542:-0.0002804285:0.2739511:7.987961E-05:0.9617436,251.5527:-0.001247168:399.599:6.749103E-05:-0.2099826:1.449511E-05:0.9777051,247.8209:-0.02354407:378.6161:-0.0001993439:-0.08036421:-1.60721E-05:0.9967656,235.2962:0.2671025:392.9454:0.004258248:0.08028083:-0.0003429658:0.9967632,217.1309:-0.02354407:403.6449:-0.0002715184:0.409015:0.0001217005:0.9125276,245.6428:-0.02354407:407.5663:-0.0005203701:-0.1507354:-7.934481E-05:0.988574,254.9463:0.07798693:386.54:0.001006239:-0.1825466:0.0001868247:0.9831967
.155,Terrain,18780,None,True,240.393:-0.004999995:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02949288:378.426:-0.0002664605:0.006448444:1.718291E-06:0.9999792,251.2971:0.04387355:391.3087:0.0006928563:-0.1585681:0.0001112727:0.9873478,240.3786:-0.02949333:409.3506:-0.0008147956:0.0004801891:3.912562E-07:0.9999996,231.8591:-0.02948999:409.2563:-0.0006819767:0.2540404:0.0001791262:0.9671934,223.6365:-0.02949101:397.3543:-0.0003703506:0.2739511:0.0001054938:0.9617436,251.552:-0.005251825:399.6004:-4.52982E-06:-0.2099827:-9.728736E-07:0.9777051,247.8209:-0.02949265:378.6162:-0.0002632826:-0.08036425:-2.122717E-05:0.9967656,235.2962:0.2592545:392.9454:0.004135446:0.08028087:-0.0003330751:0.9967636,217.131:-0.02949068:403.645:-0.0003585787:0.4090148:0.0001607228:0.9125277,245.6427:-0.02949414:407.5666:-0.0006873274:-0.1507356:-0.0001048022:0.9885738,254.9466:0.07686457:386.5393:0.0009926192:-0.1825468:0.0001842962:0.9831967
.205,Terrain,18780,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999464:378.426:-0.0002719184:0.006448444:1.753487E-06:0.9999792,251.2971:0.03210151:391.3087:0.0005259708:-0.1585681:8.447091E-05:0.9873479,240.3786:-0.02999294:409.3506:-0.0008314152:0.0004801901:3.992375E-07:0.9999996,231.8591:-0.02999091:409.2564:-0.0006959269:0.2540405:0.0001827904:0.9671934,223.6365:-0.02999157:397.3543:-0.0003779194:0.2739514:0.0001076498:0.9617435,251.5516:-0.007209122:399.6014:-3.973747E-05:-0.2099824:-8.534442E-06:0.9777052,247.8209:-0.02999413:378.6162:-0.0002686725:-0.0803642:-2.166171E-05:0.9967656,235.2962:0.2474824:392.9454:0.003951229:0.08028094:-0.000318238:0.9967644,217.131:-0.02999097:403.645:-0.0003659028:0.4090148:0.0001640056:0.9125277,245.6427:-0.02999061:407.5667:-0.0007012597:-0.1507357:-0.0001069267:0.9885738,254.9466:0.07682204:386.5393:0.0009921043:-0.1825468:0.0001842006:0.9831967
.255,Terrain,18780,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.0299986:378.426:-0.0002719616:0.006448444:1.753765E-06:0.9999792,251.2971:0.02425349:391.3087:0.0004147133:-0.1585681:6.660295E-05:0.987348,240.3786:-0.02999675:409.3506:-0.0008315421:0.0004801901:3.992984E-07:0.9999996,231.8591:-0.02999479:409.2564:-0.0006960349:0.2540405:0.0001828187:0.9671934,223.6365:-0.02999541:397.3543:-0.0003779775:0.2739514:0.0001076664:0.9617435,251.5507:-0.00699839:399.6032:-3.594947E-05:-0.2099818:-7.720872E-06:0.9777053,247.8209:-0.02999794:378.6162:-0.0002687135:-0.0803642:-2.166502E-05:0.9967656,235.2962:0.2396344:392.9454:0.003828416:0.08028097:-0.0003083465:0.9967649,217.131:-0.02999479:403.645:-0.0003659587:0.4090148:0.0001640307:0.9125277,245.6427:-0.02999443:407.5667:-0.0007013667:-0.1507357:-0.000106943:0.9885738,254.9466:0.07682171:386.5393:0.0009921003:-0.1825468:0.0001841999:0.9831967
.304,Terrain,18780,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999875:378.426:-0.0002719632:0.006448444:1.753776E-06:0.9999792,251.2971:0.01248145:391.3087:0.0002478269:-0.1585681:3.980099E-05:0.987348,240.3786:-0.02999693:409.3506:-0.000831548:0.0004801901:3.993013E-07:0.9999996,231.8591:-0.02999493:409.2564:-0.0006960389:0.2540405:0.0001828198:0.9671934,223.6365:-0.02999556:397.3543:-0.0003779797:0.2739514:0.000107667:0.9617435,251.5504:-0.007703513:399.6038:-4.863548E-05:-0.2099814:-1.044542E-05:0.9777054,247.8209:-0.02999809:378.6162:-0.0002687151:-0.0803642:-2.166515E-05:0.9967656,235.2962:0.2278623:392.9454:0.003644197:0.08028103:-0.0002935092:0.9967656,217.131:-0.02999493:403.645:-0.0003659608:0.4090148:0.0001640316:0.9125277,245.6427:-0.02999464:407.5667:-0.0007013726:-0.1507357:-0.0001069439:0.9885738,254.9466:0.07682174:386.5393:0.0009921007:-0.1825468:0.0001842:0.9831967
.354,Terrain,18780,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999875:378.426:-0.0002719632:0.006448444:1.753776E-06:0.9999792,251.2971:0.004633427:391.3087:0.0001365692:-0.1585681:2.193302E-05:0.9873481,240.3786:-0.02999693:409.3506:-0.000831548:0.0004801901:3.993013E-07:0.9999996,231.8591:-0.02999493:409.2564:-0.0006960389:0.2540405:0.0001828198:0.9671934,223.6365:-0.02999556:397.3543:-0.0003779797:0.2739514:0.000107667:0.9617435,251.5504:-0.007869601:399.6038:-5.162355E-05:-0.2099814:-1.108717E-05:0.9777054,247.8209:-0.02999809:378.6162:-0.0002687151:-0.0803642:-2.166515E-05:0.9967656,235.2962:0.2200143:392.9454:0.003521384:0.08028106:-0.0002836176:0.996766,217.131:-0.02999493:403.645:-0.0003659608:0.4090148:0.0001640316:0.9125277,245.6427:-0.02999464:407.5667:-0.0007013726:-0.1507357:-0.0001069439:0.9885738,254.9466:0.07682174:386.5393:0.0009921007:-0.1825468:0.0001842:0.9831967
.404,Terrain,18780,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999875:378.426:-0.0002719632:0.006448444:1.753776E-06:0.9999792,251.2971:-0.00713861:391.3087:-3.031727E-05:-0.1585681:-4.868953E-06:0.9873481,240.3786:-0.02999693:409.3506:-0.000831548:0.0004801901:3.993013E-07:0.9999996,231.8591:-0.02999493:409.2564:-0.0006960389:0.2540405:0.0001828198:0.9671934,223.6365:-0.02999556:397.3543:-0.0003779797:0.2739514:0.000107667:0.9617435,251.5504:-0.007951647:399.6039:-5.309965E-05:-0.2099811:-1.140417E-05:0.9777055,247.8209:-0.02999809:378.6162:-0.0002687151:-0.0803642:-2.166515E-05:0.9967656,235.2962:0.2082422:392.9454:0.003337161:0.0802811:-0.0002687801:0.9967666,217.131:-0.02999493:403.645:-0.0003659608:0.4090148:0.0001640316:0.9125277,245.6427:-0.02999461:407.5667:-0.0007013718:-0.1507357:-0.0001069437:0.9885738,254.9466:0.07682171:386.5393:0.0009921003:-0.1825468:0.0001841999:0.9831967
.453,Terrain,18780,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999875:378.426:-0.0002719632:0.006448444:1.753776E-06:0.9999792,251.2971:-0.01498663:391.3087:-0.0001415749:-0.1585681:-2.273693E-05:0.987348,240.3786:-0.02999693:409.3506:-0.000831548:0.0004801901:3.993013E-07:0.9999996,231.8591:-0.02999493:409.2564:-0.0006960389:0.2540405:0.0001828198:0.9671934,223.6365:-0.02999556:397.3543:-0.0003779797:0.2739514:0.000107667:0.9617435,251.5504:-0.007964343:399.6039:-5.332805E-05:-0.2099811:-1.145323E-05:0.9777055,247.8209:-0.02999809:378.6162:-0.0002687151:-0.0803642:-2.166515E-05:0.9967656,235.2962:0.2003942:392.9454:0.003214346:0.08028114:-0.0002588884:0.996767,217.131:-0.02999493:403.645:-0.0003659608:0.4090148:0.0001640316:0.9125277,245.6427:-0.02999461:407.5667:-0.0007013718:-0.1507357:-0.0001069437:0.9885738,254.9466:0.07682171:386.5393:0.0009921003:-0.1825468:0.0001841999:0.9831967
