Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,110606,None,True,223.4972:0:414.5486:0:-0.9938502:0:0.1107332,231.859:0:409.2561:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,239.8003:0:378.4259:0:0:0:1,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844,235.2962:0.2906466:392.9454:0:0:0:1,240.3786:0:409.3502:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,245.6428:0:407.5663:0:0.9996465:0:0.02658921,247.8209:0:378.6161:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,223.6364:0:397.3542:0:0:0:1
.353,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.5036:-0.01993737:399.6272:-0.0002017908:-0.5146792:-0.0001211332:0.8573828,239.8003:-0.0299978:378.4259:-0.0003083196:-0.210394:-6.635382E-05:0.9776166,254.9471:0.07682174:386.5396:0.0008863644:-0.4092224:0.0003975302:0.9124342,235.2989:-0.02999106:392.9405:-0.0004917457:-0.2473549:-0.0001255368:0.9689248,240.3785:-0.02999818:409.3502:-0.0005692497:-0.5940124:-0.0004203357:0.8044556,251.2545:-0.01596031:391.3427:-0.0001372199:-0.4234368:-6.413765E-05:0.9059257,245.6427:-0.02999574:407.5663:-0.0004340533:-0.5913131:-0.0003182639:0.8064419,247.8209:-0.0299975:378.6161:-0.0002753922:-0.2931659:-8.444601E-05:0.9560616,217.1309:-0.02999601:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999732:397.3542:-0.000726875:-0.004046593:-2.941392E-06:0.9999915
.485,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4847:-0.02013212:399.6367:-0.0002045593:-0.5146725:-0.0001227929:0.8573868,239.8003:-0.02999768:378.426:-0.0003083192:-0.2103939:-6.63537E-05:0.9776167,254.947:0.07682058:386.5396:0.0008863543:-0.4092222:0.0003975255:0.9124342,235.2988:-0.02999759:392.9407:-0.0004918788:-0.2473551:-0.0001255708:0.9689248,240.3781:-0.02999786:409.3503:-0.0005692529:-0.5940129:-0.0004203386:0.8044552,251.2413:-0.01618844:391.3531:-0.0001401416:-0.4234296:-6.550192E-05:0.905929,245.6425:-0.02999532:407.5664:-0.0004340503:-0.591313:-0.0003182617:0.806442,247.8208:-0.0299972:378.6162:-0.0002753897:-0.2931662:-8.444533E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999705:397.3546:-0.0007268814:-0.004046672:-2.941475E-06:0.9999915
.543,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4815:-0.01860237:399.6383:-0.0001839004:-0.5146713:-0.0001103915:0.8573876,239.8003:-0.02999771:378.426:-0.0003083195:-0.2103939:-6.635378E-05:0.9776167,254.947:0.07682037:386.5396:0.000886352:-0.4092222:0.0003975245:0.9124342,235.2988:-0.02999753:392.9407:-0.0004918776:-0.2473551:-0.0001255705:0.9689248,240.3781:-0.02999797:409.3503:-0.0005692557:-0.5940129:-0.0004203406:0.8044552,251.2387:-0.01504201:391.3551:-0.0001257933:-0.4234279:-5.879529E-05:0.9059299,245.6425:-0.02999532:407.5664:-0.0004340503:-0.591313:-0.0003182617:0.806442,247.8208:-0.0299972:378.6162:-0.0002753897:-0.293166:-8.444531E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999699:397.3546:-0.0007268796:-0.004046672:-2.941468E-06:0.9999915
.595,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4821:-0.01792949:399.6381:-0.0001747999:-0.5146722:-0.0001049289:0.8573871,239.8003:-0.02999753:378.426:-0.0003083173:-0.2103939:-6.635331E-05:0.9776167,254.947:0.07681948:386.5396:0.0008863424:-0.4092222:0.0003975201:0.9124342,235.2988:-0.02999723:392.9407:-0.0004918717:-0.2473551:-0.0001255691:0.9689248,240.3781:-0.02999777:409.3503:-0.0005692508:-0.5940129:-0.0004203371:0.8044552,251.239:-0.0145236:391.3547:-0.0001192977:-0.4234276:-5.575921E-05:0.90593,245.6425:-0.02999493:407.5664:-0.0004340436:-0.591313:-0.0003182567:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999663:397.3546:-0.0007268692:-0.004046672:-2.941426E-06:0.9999915
.644,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4815:-0.01854843:399.6383:-0.000183171:-0.514671:-0.0001099535:0.8573878,239.8003:-0.02999771:378.426:-0.0003083195:-0.2103939:-6.635378E-05:0.9776167,254.947:0.0768204:386.5396:0.0008863524:-0.4092222:0.0003975246:0.9124342,235.2988:-0.02999756:392.9407:-0.0004918783:-0.2473551:-0.0001255707:0.9689248,240.3781:-0.02999803:409.3503:-0.000569257:-0.5940129:-0.0004203416:0.8044552,251.2386:-0.01508954:391.355:-0.0001263889:-0.423427:-5.907354E-05:0.9059302,245.6425:-0.02999538:407.5664:-0.0004340513:-0.591313:-0.0003182624:0.806442,247.8208:-0.02999717:378.6162:-0.0002753894:-0.293166:-8.444521E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999699:397.3546:-0.0007268796:-0.004046672:-2.941468E-06:0.9999915
.705,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4817:-0.01844394:399.6381:-0.000181757:-0.5146704:-0.0001091046:0.8573881,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681963:386.5396:0.0008863439:-0.4092222:0.0003975208:0.9124342,235.2988:-0.02999729:392.9407:-0.000491873:-0.2473551:-0.0001255693:0.9689248,240.3781:-0.02999777:409.3503:-0.0005692508:-0.5940129:-0.0004203371:0.8044552,251.2389:-0.01491666:391.3549:-0.0001242221:-0.4234275:-5.806085E-05:0.90593,245.6425:-0.02999505:407.5664:-0.0004340456:-0.591313:-0.0003182582:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
.754,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4821:-0.01783094:399.638:-0.0001734673:-0.5146717:-0.0001041288:0.8573873,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681948:386.5396:0.0008863424:-0.4092222:0.0003975201:0.9124342,235.2988:-0.02999732:392.9407:-0.0004918735:-0.2473551:-0.0001255695:0.9689248,240.3781:-0.02999786:409.3503:-0.0005692529:-0.5940129:-0.0004203386:0.8044552,251.2391:-0.01442242:391.3547:-0.0001180301:-0.4234276:-5.516674E-05:0.9059299,245.6425:-0.02999499:407.5664:-0.0004340446:-0.591313:-0.0003182575:0.806442,247.8208:-0.02999699:378.6162:-0.0002753874:-0.293166:-8.44446E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.0299966:397.3546:-0.0007268683:-0.004046672:-2.941423E-06:0.9999915
.804,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4815:-0.01851973:399.6382:-0.000182783:-0.5146707:-0.0001097205:0.857388,239.8003:-0.02999774:378.426:-0.0003083199:-0.2103939:-6.635386E-05:0.9776167,254.947:0.0768204:386.5396:0.0008863524:-0.4092222:0.0003975246:0.9124342,235.2988:-0.02999762:392.9407:-0.0004918794:-0.2473551:-0.000125571:0.9689248,240.3781:-0.02999797:409.3503:-0.0005692557:-0.5940129:-0.0004203406:0.8044552,251.2386:-0.01507938:391.355:-0.0001262616:-0.4234272:-5.901404E-05:0.9059301,245.6425:-0.02999538:407.5664:-0.0004340513:-0.591313:-0.0003182624:0.806442,247.8208:-0.0299972:378.6162:-0.0002753897:-0.293166:-8.444531E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999696:397.3546:-0.0007268788:-0.004046672:-2.941465E-06:0.9999915
.851,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4821:-0.01790044:399.6381:-0.000174407:-0.5146722:-0.000104693:0.857387,239.8003:-0.02999753:378.426:-0.0003083173:-0.2103939:-6.635331E-05:0.9776167,254.947:0.07681945:386.5396:0.000886342:-0.4092222:0.00039752:0.9124342,235.2988:-0.02999723:392.9407:-0.0004918717:-0.2473551:-0.0001255691:0.9689248,240.3781:-0.02999777:409.3503:-0.0005692508:-0.5940129:-0.0004203371:0.8044552,251.239:-0.01454115:391.3547:-0.0001195176:-0.4234272:-5.586192E-05:0.9059302,245.6425:-0.02999496:407.5664:-0.0004340441:-0.591313:-0.0003182571:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999663:397.3546:-0.0007268692:-0.004046672:-2.941426E-06:0.9999915
.901,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4815:-0.01853803:399.6383:-0.0001830304:-0.514671:-0.0001098691:0.8573878,239.8003:-0.02999771:378.426:-0.0003083195:-0.2103939:-6.635378E-05:0.9776167,254.947:0.07682037:386.5396:0.000886352:-0.4092222:0.0003975245:0.9124342,235.2988:-0.02999756:392.9407:-0.0004918783:-0.2473551:-0.0001255707:0.9689248,240.3781:-0.02999803:409.3503:-0.000569257:-0.5940129:-0.0004203416:0.8044552,251.2386:-0.01509887:391.355:-0.0001265058:-0.4234268:-5.912809E-05:0.9059303,245.6425:-0.02999535:407.5664:-0.0004340508:-0.591313:-0.000318262:0.806442,247.8208:-0.02999717:378.6162:-0.0002753894:-0.293166:-8.444521E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999699:397.3546:-0.0007268796:-0.004046672:-2.941468E-06:0.9999915
.949,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4821:-0.01790693:399.6381:-0.0001744948:-0.5146722:-0.0001047458:0.857387,239.8003:-0.02999753:378.426:-0.0003083173:-0.2103939:-6.635331E-05:0.9776167,254.947:0.07681948:386.5396:0.0008863424:-0.4092222:0.0003975201:0.9124342,235.2988:-0.0299972:392.9407:-0.0004918712:-0.2473551:-0.0001255689:0.9689248,240.3781:-0.02999786:409.3503:-0.0005692529:-0.5940129:-0.0004203386:0.8044552,251.239:-0.01454797:391.3547:-0.0001196031:-0.4234272:-5.590187E-05:0.9059302,245.6425:-0.02999493:407.5664:-0.0004340436:-0.591313:-0.0003182567:0.806442,247.8208:-0.02999702:378.6162:-0.0002753877:-0.293166:-8.444471E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999663:397.3546:-0.0007268692:-0.004046672:-2.941426E-06:0.9999915
.998,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4823:-0.01760811:399.6381:-0.0001704539:-0.514673:-0.0001023202:0.8573865,239.8003:-0.02999753:378.426:-0.0003083173:-0.2103939:-6.635331E-05:0.9776167,254.947:0.07681948:386.5396:0.0008863424:-0.4092222:0.0003975201:0.9124342,235.2988:-0.02999726:392.9407:-0.0004918724:-0.2473551:-0.0001255692:0.9689248,240.3781:-0.02999777:409.3503:-0.0005692508:-0.5940129:-0.0004203371:0.8044552,251.2391:-0.01427433:391.3546:-0.0001161748:-0.4234274:-5.429957E-05:0.90593,245.6425:-0.02999496:407.5664:-0.0004340441:-0.591313:-0.0003182571:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999663:397.3546:-0.0007268692:-0.004046672:-2.941426E-06:0.9999915
1.047,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4819:-0.01814824:399.6382:-0.0001777582:-0.514672:-0.0001067046:0.8573871,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681966:386.5396:0.0008863443:-0.4092222:0.000397521:0.9124342,235.2988:-0.02999738:392.9407:-0.0004918747:-0.2473551:-0.0001255698:0.9689248,240.3781:-0.02999774:409.3503:-0.0005692502:-0.5940129:-0.0004203366:0.8044552,251.2389:-0.0147956:391.3548:-0.0001227055:-0.423427:-5.735193E-05:0.9059302,245.6425:-0.02999505:407.5664:-0.0004340456:-0.591313:-0.0003182582:0.806442,247.8208:-0.02999711:378.6162:-0.0002753887:-0.293166:-8.4445E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
1.094,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4822:-0.01771215:399.6381:-0.0001718608:-0.5146726:-0.0001031647:0.8573868,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681945:386.5396:0.000886342:-0.4092222:0.00039752:0.9124342,235.2988:-0.02999723:392.9407:-0.0004918717:-0.2473551:-0.0001255691:0.9689248,240.3781:-0.0299978:409.3503:-0.0005692516:-0.5940129:-0.0004203376:0.8044552,251.2391:-0.01437718:391.3547:-0.0001174634:-0.4234274:-5.490181E-05:0.9059301,245.6425:-0.02999499:407.5664:-0.0004340446:-0.591313:-0.0003182575:0.806442,247.8208:-0.02999702:378.6162:-0.0002753877:-0.293166:-8.444471E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.0299966:397.3546:-0.0007268683:-0.004046672:-2.941423E-06:0.9999915
1.145,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4819:-0.01818144:399.6381:-0.0001782072:-0.5146715:-0.000106974:0.8573874,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681963:386.5396:0.0008863439:-0.4092222:0.0003975208:0.9124342,235.2988:-0.02999735:392.9407:-0.0004918741:-0.2473551:-0.0001255697:0.9689248,240.3781:-0.0299978:409.3503:-0.0005692516:-0.5940129:-0.0004203376:0.8044552,251.2389:-0.01480243:391.3548:-0.000122791:-0.423427:-5.739189E-05:0.9059302,245.6425:-0.02999502:407.5664:-0.0004340451:-0.591313:-0.0003182579:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
