Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,11490,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.418,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.480,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.530,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.575,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.649,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.713,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.781,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.845,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.912,Terrain,11490,None,True,248.4225:-0.005000114:423.233:0:0.987542:0:-0.1573557,238.1141:0.1115839:403.7122:0.002563023:0.2405427:-0.0006351682:0.970635,254.1505:0.1115837:406.1739:0.003196877:-0.1612632:0.0005223785:0.9869061,219.1169:0.1115837:408.9374:0.001516111:0.5298918:-0.0009473051:0.8480634,223.4755:0.1115839:396.552:0.001484418:0.3671205:-0.0005858704:0.9301721,239.0525:0.1115837:392.0285:0.001770136:0.1453394:-0.0002600321:0.9893802
.998,Terrain,11490,None,True,248.0804:-0.005000114:423.3848:0:0.9466227:0:-0.3223441,238.1141:0.1115839:403.7122:0.002570908:0.2323165:-0.0006140674:0.9726366,254.1505:0.1115837:406.1739:0.003148242:-0.1687206:0.0005389017:0.9856588,219.1169:0.1115837:408.9374:0.001531543:0.526134:-0.0009475505:0.8503998,223.4755:0.1115839:396.552:0.001492189:0.3625993:-0.0005805788:0.9319438,239.0525:0.1115837:392.0285:0.00176892:0.1397079:-0.0002495801:0.9901912
1.040,Terrain,11490,None,True,247.7377:-0.004999995:423.5352:0:0.9070972:0:-0.4209213,238.1141:0.1115839:403.7122:0.002578071:0.2240614:-0.0005927181:0.9745715,254.1505:0.1115837:406.1739:0.003100378:-0.1759897:0.0005542888:0.984387,219.1169:0.1115837:408.9374:0.001547154:0.5223233:-0.0009476618:0.8527457,223.4755:0.1115839:396.552:0.001499907:0.3580464:-0.0005751686:0.9337024,239.0525:0.1115837:392.0285:0.001767499:0.1340866:-0.000239158:0.990968
1.083,Terrain,11490,None,True,247.4885:-0.005000174:423.6435:0:0.8792669:0:-0.4763293,238.1141:0.1115839:403.7122:0.002582819:0.2180509:-0.0005770739:0.9759338,254.1505:0.1115837:406.1739:0.003066125:-0.1811535:0.0005647865:0.9834499,219.1169:0.1115837:408.9374:0.001558606:0.5195225:-0.0009476579:0.8544549,223.4755:0.1115839:396.552:0.001505481:0.3547204:-0.0005711674:0.934971,239.0525:0.1115837:392.0285:0.001766346:0.1300117:-0.0002316118:0.9915109
1.125,Terrain,11490,None,True,247.2296:-0.005000055:423.7556:0:-0.8514686:0:0.5244057,238.1141:0.1115839:403.7122:0.002587277:0.2117954:-0.000560695:0.9773105,254.1505:0.1115837:406.1739:0.003030943:-0.1864085:0.000575076:0.9824675,219.1169:0.1115837:408.9374:0.001570584:0.516579:-0.0009475529:0.8562376,223.4755:0.1115839:396.552:0.001511216:0.3512467:-0.0005669339:0.9362816,239.0525:0.1115837:392.0285:0.001765009:0.125787:-0.000223793:0.9920557
1.176,Terrain,11490,None,True,246.9643:-0.005000055:423.8702:0:-0.8244202:0:0.5659783,238.1141:0.1115839:403.7122:0.002591324:0.2053794:-0.0005437989:0.9786789,254.1505:0.1115837:406.1739:0.002995343:-0.1916737:0.0005849776:0.981454,219.1169:0.1115837:408.9374:0.001582933:0.513527:-0.0009473322:0.8580715,223.4755:0.1115839:396.552:0.001517029:0.3476692:-0.0005625162:0.9376159,239.0525:0.1115837:392.0285:0.00176349:0.1214708:-0.000215811:0.9925934
1.222,Terrain,11490,None,True,246.5616:-0.004999995:424.0493:0:-0.7847512:0:0.6198109,238.1141:0.1115839:403.7122:0.002595868:0.1955732:-0.0005176809:0.9806855,254.1505:0.1115837:406.1739:0.002941375:-0.1993953:0.0005985178:0.9799145,219.1169:0.1115837:408.9374:0.001601777:0.5087505:-0.0009465597:0.860912,223.4755:0.1115839:396.552:0.001525572:0.3421502:-0.0005555027:0.9396439,239.0525:0.1115837:392.0285:0.001760605:0.1149176:-0.000203674:0.9933735
1.265,Terrain,11490,None,True,246.293:-0.004999995:424.1757:0:-0.7587442:0:0.6513888,238.1141:0.1115839:403.7122:0.002597436:0.1889724:-0.0004998516:0.9819788,254.1505:0.1115837:406.1739:0.002905075:-0.2043259:0.0006063775:0.9788985,219.1169:0.1115837:408.9374:0.001614344:0.5054276:-0.0009456081:0.862867,223.4755:0.1115839:396.552:0.001530969:0.338385:-0.000550535:0.9410064,239.0525:0.1115837:392.0285:0.001758115:0.1105411:-0.0001955427:0.99387
1.312,Terrain,11490,None,True,246.0222:-0.004999936:424.3003:0:-0.7377254:0:0.6751009,238.1141:0.1115839:403.7122:0.002598731:0.182339:-0.000481931:0.9832322,254.1505:0.1115837:406.1739:0.002869359:-0.2092128:0.0006138949:0.9778658,219.1169:0.1115837:408.9374:0.00162712:0.5020661:-0.0009446068:0.8648272,223.4755:0.1115839:396.552:0.001536405:0.3345901:-0.0005455076:0.9423624,239.0525:0.1115837:392.0285:0.00175559:0.1061505:-0.0001874159:0.9943485
1.358,Terrain,11490,None,True,245.7433:-0.004999936:424.4022:0:-0.7276438:0:0.6859552,238.1141:0.1115839:403.7122:0.00260225:0.1757154:-0.000464484:0.9844375,254.1505:0.1115837:406.1739:0.002836329:-0.2143923:0.000622566:0.9767433,219.1169:0.1115837:408.9374:0.001640692:0.4988771:-0.0009444233:0.8666707,223.4755:0.1115839:396.552:0.001542667:0.3308776:-0.0005409017:0.9436723,239.0525:0.1115837:392.0285:0.00175417:0.1017257:-0.0001793749:0.9948109
1.404,Terrain,11490,None,True,245.3117:-0.005000055:424.4807:0:-0.728742:0:0.6847884,238.1141:0.1115839:403.7122:0.002615157:0.1660313:-0.0004403107:0.9861169,254.1505:0.1115837:406.1739:0.002795189:-0.2230082:0.0006394565:0.9748124,219.1169:0.1115837:408.9374:0.001663041:0.4948223:-0.0009469702:0.8689921,223.4755:0.1115839:396.552:0.001554574:0.3257342:-0.0005355891:0.94546,239.0525:0.1115837:392.0285:0.001755723:0.09512401:-0.0001677725:0.9954639
1.449,Terrain,11490,None,True,245.0207:-0.004999995:424.4859:0:-0.7352419:0:0.6778048,238.1141:0.1115839:403.7122:0.002628484:0.1597972:-0.0004254935:0.9871463,254.1505:0.1115837:406.1739:0.002772952:-0.2291921:0.0006529214:0.973377,219.1169:0.1115837:408.9374:0.001679059:0.4926209:-0.000950471:0.8702419,223.4755:0.1115839:396.552:0.001564022:0.3226178:-0.0005330867:0.9465279,239.0525:0.1115837:392.0285:0.00175903:0.09079901:-0.0001603809:0.9958677
1.494,Terrain,11490,None,True,244.7299:-0.004999995:424.4608:0:-0.7422907:0:0.670078,238.1141:0.1115839:403.7122:0.002644814:0.1537187:-0.000411449:0.988111,254.1505:0.1115837:406.1739:0.0027539:-0.23561:0.0006676448:0.9718436,219.1169:0.1115837:408.9374:0.001695795:0.4907577:-0.0009551591:0.8712939,223.4755:0.1115839:396.552:0.001574432:0.3197162:-0.0005312561:0.9475119,239.0525:0.1115837:392.0285:0.001763765:0.08654101:-0.0001532131:0.9962468
1.555,Terrain,11490,None,True,244.2963:-0.004999995:424.3811:0:-0.7539095:0:0.6569782,238.1141:0.1115839:403.7122:0.002673485:0.1448066:-0.0003912636:0.9894563,254.1505:0.1115837:406.1739:0.002729444:-0.2455028:0.000691244:0.9693918,219.1169:0.1115837:408.9374:0.001721992:0.4884477:-0.0009639144:0.872591,223.4755:0.1115839:396.552:0.001591424:0.31567:-0.0005294362:0.9488676,239.0525:0.1115837:392.0285:0.001772812:0.08025701:-0.0001427413:0.9967726
1.633,Terrain,11490,None,True,243.7293:-0.005000055:424.2106:0:-0.7722022:0:0.6353769,238.1141:0.1115839:403.7122:0.002718179:0.1332887:-0.0003655659:0.9910735,254.1505:0.1115837:406.1739:0.002702847:-0.2589708:0.0007246839:0.9658811,219.1169:0.1115837:408.9374:0.001758558:0.4861697:-0.0009783668:0.8738621,223.4755:0.1115839:396.552:0.001616179:0.3107961:-0.0005284747:0.9504751,239.0525:0.1115837:392.0285:0.001787812:0.07209466:-0.0001292282:0.9973962
1.674,Terrain,11490,None,True,243.5315:-0.005000055:424.1442:0:-0.7722022:0:0.6353769,238.1141:0.1115839:403.7122:0.002734528:0.1292259:-0.0003563613:0.9916114,254.1505:0.1115837:406.1739:0.002693773:-0.2636996:0.0007364152:0.9646008,219.1169:0.1115837:408.9374:0.001771793:0.485442:-0.0009837995:0.8742665,223.4755:0.1115839:396.552:0.001625179:0.3091186:-0.0005282455:0.951022,239.0525:0.1115837:392.0285:0.001793339:0.06923037:-0.0001244523:0.9975991
1.716,Terrain,11490,None,True,243.327:-0.004999995:424.0737:0:-0.7777244:0:0.6286054,238.1141:0.1115839:403.7122:0.002751615:0.1249891:-0.0003466414:0.9921542,254.1505:0.1115837:406.1739:0.002684298:-0.2685817:0.0007484568:0.9632529,219.1169:0.1115837:408.9374:0.001785708:0.4847031:-0.0009895528:0.8746764,223.4755:0.1115839:396.552:0.001634623:0.3073815:-0.0005280167:0.9515849,239.0525:0.1115837:392.0285:0.00179911:0.06625605:-0.0001194646:0.9978011
