Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,11490,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.871,Terrain,11490,None,True,248.4286:-0.004999936:423.1554:0:0.9910112:0:-0.1337789,238.1141:0.1115839:403.7122:0.002570067:0.2414592:-0.0006394904:0.9704074,254.1505:0.1115837:406.1739:0.003210051:-0.1617847:0.0005262732:0.9868208,219.1169:0.1115837:408.9374:0.00151638:0.5308332:-0.0009498159:0.8474745,223.4755:0.1115839:396.552:0.001486089:0.3678521:-0.0005878814:0.9298829,239.0525:0.1115837:392.0285:0.00177397:0.1457671:-0.0002613786:0.9893173
.913,Terrain,11490,None,True,248.2881:-0.005000055:423.0745:0:0.9837805:0:-0.1793767,238.1141:0.1115839:403.7122:0.002587447:0.2395476:-0.0006384063:0.970881,254.1505:0.1115837:406.1739:0.003213268:-0.1661673:0.0005414709:0.9860922,219.1169:0.1115837:408.9374:0.001523776:0.5309837:-0.0009548253:0.8473802,223.4755:0.1115839:396.552:0.001492818:0.3672493:-0.0005894249:0.9301212,239.0525:0.1115837:392.0285:0.001780871:0.1440695:-0.0002592745:0.989566
.996,Terrain,11490,None,True,247.8881:-0.005000055:422.8556:0:0.9667946:0:-0.2555549,238.1141:0.1115839:403.7122:0.002636759:0.2338463:-0.0006341821:0.9722698,254.1505:0.1115837:406.1739:0.003218786:-0.1785965:0.0005842607:0.983917,219.1169:0.1115837:408.9374:0.001545145:0.5312826:-0.0009689752:0.8471927,223.4755:0.1115839:396.552:0.001512005:0.3654015:-0.0005935323:0.9308486,239.0525:0.1115837:392.0285:0.001800055:0.1391156:-0.000252875:0.9902745
1.043,Terrain,11490,None,True,247.5199:-0.005000055:422.7024:0:0.9474875:0:-0.3197928,238.1141:0.1115839:403.7122:0.002678241:0.2279171:-0.0006269193:0.9736767,254.1505:0.1115837:406.1739:0.00321377:-0.1895961:0.0006205773:0.9818568,219.1169:0.1115837:408.9374:0.001564986:0.5309815:-0.0009806427:0.8473814,223.4755:0.1115839:396.552:0.001528822:0.3632299:-0.0005960236:0.9316981,239.0525:0.1115837:392.0285:0.001815265:0.134263:-0.0002459502:0.990944
1.087,Terrain,11490,None,True,247.2521:-0.004999995:422.6245:0:0.9318928:0:-0.362734,238.1141:0.1115839:403.7122:0.002705224:0.2231537:-0.0006192999:0.9747793,254.1505:0.1115837:406.1739:0.003203523:-0.1972281:0.0006444877:0.9803522,219.1169:0.1115837:408.9374:0.001579473:0.530349:-0.0009880798:0.8477774,223.4755:0.1115839:396.552:0.00154037:0.3613227:-0.0005968973:0.9324394,239.0525:0.1115837:392.0285:0.001824512:0.1305487:-0.000240244:0.9914402
1.128,Terrain,11490,None,True,246.9728:-0.005000114:422.5655:0:0.9156579:0:-0.4019584,238.1141:0.1115839:403.7122:0.002731095:0.2178665:-0.0006096615:0.9759746,254.1505:0.1115837:406.1739:0.003188407:-0.2049039:0.0006674832:0.9787767,219.1169:0.1115837:408.9374:0.001594689:0.5294037:-0.0009951275:0.8483679,223.4755:0.1115839:396.552:0.001551965:0.3591056:-0.000597152:0.9332955,239.0525:0.1115837:392.0285:0.001832891:0.126548:-0.000233829:0.9919588
1.168,Terrain,11490,None,True,246.6859:-0.005000174:422.5225:0:0.8988711:0:-0.4382131,238.1141:0.1115839:403.7122:0.002755719:0.2121635:-0.000598286:0.9772301,254.1505:0.1115837:406.1739:0.003169319:-0.2125257:0.0006893124:0.9771501,219.1169:0.1115837:408.9374:0.001610465:0.5281962:-0.001001792:0.8491203,223.4755:0.1115839:396.552:0.00156352:0.3566378:-0.0005968591:0.9342412,239.0525:0.1115837:392.0285:0.001840435:0.1223347:-0.0002268534:0.9924872
1.214,Terrain,11490,None,True,246.394:-0.005000055:422.4992:0:0.880137:0:-0.4747197,238.1141:0.1115839:403.7122:0.002778289:0.2060692:-0.0005850793:0.9785333,254.1505:0.1115837:406.1739:0.003146101:-0.219957:0.0007093841:0.9755042,219.1169:0.1115837:408.9374:0.001626628:0.5266888:-0.001007847:0.8500561,223.4755:0.1115839:396.552:0.001574804:0.3539097:-0.0005959066:0.9352781,239.0525:0.1115837:392.0285:0.001846837:0.1179409:-0.0002193489:0.9930189
1.258,Terrain,11490,None,True,246.0991:-0.004999995:422.4815:0:-0.8651846:0:0.5014535,238.1141:0.1115839:403.7122:0.002800191:0.1997619:-0.0005708804:0.9798403,254.1505:0.1115837:406.1739:0.003121207:-0.2272982:0.0007285172:0.97382,219.1169:0.1115837:408.9374:0.001643208:0.5250616:-0.001013775:0.8510621,223.4755:0.1115839:396.552:0.00158613:0.3510629:-0.0005946829:0.9363503,239.0525:0.1115837:392.0285:0.001852831:0.1134509:-0.0002115718:0.9935418
