Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,110606,None,True,223.4972:0:414.5486:0:-0.9938502:0:0.1107332,231.859:0:409.2561:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,239.8003:0:378.4259:0:0:0:1,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844,235.2962:0.2906466:392.9454:0:0:0:1,240.3786:0:409.3502:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,245.6428:0:407.5663:0:0.9996465:0:0.02658921,247.8209:0:378.6161:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,223.6364:0:397.3542:0:0:0:1
.370,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.5013:-0.01771942:399.6285:-0.0001718427:-0.5146798:-0.0001031558:0.8573825,239.8003:-0.0299972:378.426:-0.0003083133:-0.2103939:-6.635244E-05:0.9776167,254.947:0.07682064:386.5396:0.0008863549:-0.4092222:0.0003975258:0.9124342,235.2988:-0.02999517:392.9407:-0.0004918313:-0.2473551:-0.0001255587:0.9689248,240.3781:-0.0299975:409.3503:-0.0005692448:-0.5940123:-0.0004203319:0.8044557,251.2524:-0.01351339:391.3444:-0.000106593:-0.423436:-4.982228E-05:0.905926,245.6425:-0.02999446:407.5664:-0.0004340349:-0.591313:-0.0003182504:0.806442,247.8208:-0.02999657:378.6162:-0.0002753829:-0.2931659:-8.444316E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.03000042:397.3546:-0.0007269793:-0.004046672:-2.941872E-06:0.9999915
.434,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.5012:-0.01711482:399.6286:-0.0001636747:-0.5146806:-9.825284E-05:0.857382,239.8003:-0.02999753:378.426:-0.0003083173:-0.2103939:-6.635331E-05:0.9776167,254.947:0.07681945:386.5396:0.000886342:-0.4092222:0.00039752:0.9124342,235.2988:-0.02999726:392.9407:-0.0004918724:-0.2473551:-0.0001255692:0.9689248,240.3781:-0.02999774:409.3503:-0.0005692503:-0.5940123:-0.0004203359:0.8044557,251.2505:-0.01240492:391.3459:-9.272028E-05:-0.4234347:-4.333793E-05:0.9059266,245.6425:-0.02999496:407.5664:-0.0004340441:-0.591313:-0.0003182571:0.806442,247.8208:-0.02999702:378.6162:-0.0002753878:-0.2931659:-8.444468E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999663:397.3546:-0.0007268692:-0.004046672:-2.941426E-06:0.9999915
.494,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4987:-0.01735038:399.63:-0.0001668719:-0.5146813:-0.0001001723:0.8573815,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681963:386.5396:0.0008863439:-0.4092222:0.0003975208:0.9124342,235.2988:-0.02999738:392.9407:-0.0004918747:-0.2473551:-0.0001255698:0.9689248,240.3781:-0.02999777:409.3503:-0.000569251:-0.5940123:-0.0004203364:0.8044557,251.2501:-0.0134027:391.3462:-0.0001052157:-0.4234338:-4.917824E-05:0.9059271,245.6425:-0.02999505:407.5664:-0.0004340456:-0.591313:-0.0003182582:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
.552,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4985:-0.01781604:399.63:-0.0001731652:-0.51468:-0.0001039497:0.8573823,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681966:386.5396:0.0008863443:-0.4092222:0.000397521:0.9124342,235.2988:-0.02999729:392.9407:-0.000491873:-0.2473551:-0.0001255693:0.9689248,240.3781:-0.0299978:409.3503:-0.0005692516:-0.5940123:-0.0004203369:0.8044557,251.2499:-0.0136975:391.3462:-0.0001089076:-0.4234329:-5.090372E-05:0.9059275,245.6425:-0.02999502:407.5664:-0.0004340451:-0.591313:-0.0003182579:0.806442,247.8208:-0.02999711:378.6162:-0.0002753887:-0.293166:-8.4445E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
.612,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4984:-0.01794386:399.63:-0.0001748927:-0.5146791:-0.0001049865:0.8573829,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681966:386.5396:0.0008863443:-0.4092222:0.000397521:0.9124342,235.2988:-0.02999732:392.9407:-0.0004918735:-0.2473551:-0.0001255695:0.9689248,240.3781:-0.02999768:409.3503:-0.0005692489:-0.5940123:-0.0004203349:0.8044557,251.2498:-0.01378766:391.3462:-0.0001100367:-0.4234324:-5.143135E-05:0.9059277,245.6425:-0.02999502:407.5664:-0.0004340451:-0.591313:-0.0003182579:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
.670,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4984:-0.01798147:399.6299:-0.0001754011:-0.5146785:-0.0001052915:0.8573833,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681966:386.5396:0.0008863443:-0.4092222:0.000397521:0.9124342,235.2988:-0.02999732:392.9407:-0.0004918735:-0.2473551:-0.0001255695:0.9689248,240.3781:-0.02999774:409.3503:-0.0005692503:-0.5940123:-0.0004203359:0.8044557,251.2498:-0.01381183:391.3462:-0.0001103394:-0.4234322:-5.157282E-05:0.9059278,245.6425:-0.02999502:407.5664:-0.0004340451:-0.591313:-0.0003182579:0.806442,247.8208:-0.02999711:378.6162:-0.0002753887:-0.293166:-8.4445E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
.730,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4984:-0.01799265:399.6299:-0.0001755522:-0.5146785:-0.0001053822:0.8573833,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681966:386.5396:0.0008863443:-0.4092222:0.000397521:0.9124342,235.2988:-0.02999732:392.9407:-0.0004918735:-0.2473551:-0.0001255695:0.9689248,240.3781:-0.02999777:409.3503:-0.000569251:-0.5940123:-0.0004203364:0.8044557,251.2498:-0.01381809:391.3462:-0.0001104177:-0.4234322:-5.160945E-05:0.9059278,245.6425:-0.02999502:407.5664:-0.0004340451:-0.591313:-0.0003182579:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
.789,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4984:-0.01799071:399.6299:-0.000175526:-0.5146785:-0.0001053665:0.8573833,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681966:386.5396:0.0008863443:-0.4092222:0.000397521:0.9124342,235.2988:-0.02999732:392.9407:-0.0004918735:-0.2473551:-0.0001255695:0.9689248,240.3781:-0.0299978:409.3503:-0.0005692516:-0.5940123:-0.0004203369:0.8044557,251.2498:-0.01381892:391.3462:-0.0001104282:-0.4234322:-5.161433E-05:0.9059278,245.6425:-0.02999502:407.5664:-0.0004340451:-0.591313:-0.0003182579:0.806442,247.8208:-0.02999711:378.6162:-0.0002753887:-0.293166:-8.4445E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
.849,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,231.859:-0.02999783:409.2561:0:0:0:1,251.4984:-0.01799387:399.6299:-0.0001755687:-0.5146785:-0.0001053921:0.8573833,239.8003:-0.02999756:378.426:-0.0003083177:-0.2103939:-6.635339E-05:0.9776167,254.947:0.07681966:386.5396:0.0008863443:-0.4092222:0.000397521:0.9124342,235.2988:-0.02999732:392.9407:-0.0004918735:-0.2473551:-0.0001255695:0.9689248,240.3781:-0.02999768:409.3503:-0.0005692489:-0.5940123:-0.0004203349:0.8044557,251.2498:-0.01381907:391.3462:-0.00011043:-0.4234322:-5.16152E-05:0.9059278,245.6425:-0.02999502:407.5664:-0.0004340451:-0.591313:-0.0003182579:0.806442,247.8208:-0.02999705:378.6162:-0.0002753881:-0.293166:-8.444481E-05:0.9560615,217.1309:-0.02999604:403.6448:0:0.4497332:0:0.893163,223.6364:-0.02999666:397.3546:-0.0007268701:-0.004046672:-2.94143E-06:0.9999915
