Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,171066,None,True,240.393:0:424.3809:0:-0.9938502:0:0.1107332,239.8003:0:378.4259:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,240.3786:0:409.3502:0:0:0:1,231.859:0:409.2561:0:0:0:1,223.6364:0:397.3542:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,247.8209:0:378.6161:0:0:0:1,235.2962:0.2906466:392.9454:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,245.6428:0:407.5663:0:0.9996465:0:0.02658921,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844
.071,Terrain,171066,None,True,240.393:-0.004999936:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.0299789:378.4261:-0.0002717493:0.00644846:1.752401E-06:0.9999792,251.2971:0.0321016:391.3087:0.0005259705:-0.1585681:8.447085E-05:0.9873479,240.3786:-0.02997732:409.3506:-0.0008309013:0.0004801911:3.989916E-07:0.9999996,231.8591:-0.02997538:409.2563:-0.0006954965:0.2540404:0.0001826773:0.9671934,223.6366:-0.02997586:397.3545:-0.0003776859:0.2739511:0.0001075832:0.9617435,251.5511:-0.007539362:399.6024:-4.568209E-05:-0.2099817:-9.81114E-06:0.9777053,247.8208:-0.02997801:378.6164:-0.0002685013:-0.08036414:-2.16479E-05:0.9967656,235.2962:0.2474825:392.9454:0.003951229:0.08028094:-0.000318238:0.9967644,217.1311:-0.02997524:403.6451:-0.0003656762:0.4090149:0.0001639041:0.9125276,245.6427:-0.02997515:407.5667:-0.000700829:-0.1507357:-0.000106861:0.9885738,254.9464:0.07682398:386.5398:0.0009921388:-0.1825466:0.0001842068:0.9831967
.111,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999809:378.4261:-0.000271957:0.006448465:1.753741E-06:0.9999792,251.2971:0.02032959:391.3087:0.0003590862:-0.1585681:5.766924E-05:0.987348,240.3786:-0.02999657:409.3506:-0.0008315361:0.0004801901:3.992956E-07:0.9999996,231.8591:-0.02999488:409.2564:-0.0006960373:0.2540405:0.0001828193:0.9671934,223.6366:-0.02999514:397.3545:-0.0003779755:0.2739514:0.0001076658:0.9617435,251.5509:-0.008681178:399.603:-6.622156E-05:-0.2099826:-1.422246E-05:0.9777051,247.8208:-0.02999741:378.6164:-0.0002687086:-0.08036414:-2.166461E-05:0.9967656,235.2962:0.2357105:392.9454:0.003767012:0.08028098:-0.0003034009:0.9967651,217.1311:-0.02999455:403.6451:-0.0003659572:0.4090149:0.00016403:0.9125276,245.6427:-0.02999431:407.5667:-0.0007013634:-0.1507357:-0.0001069425:0.9885738,254.9464:0.07682061:386.5398:0.0009920991:-0.1825467:0.0001841996:0.9831967
.158,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.0299989:378.4261:-0.0002719657:0.006448465:1.753798E-06:0.9999792,251.2971:0.008557588:391.3087:0.0001922002:-0.1585681:3.086734E-05:0.987348,240.3786:-0.02999738:409.3506:-0.0008315629:0.0004801901:3.993084E-07:0.9999996,231.8591:-0.02999562:409.2564:-0.000696058:0.2540405:0.0001828248:0.9671934,223.6366:-0.02999589:397.3545:-0.0003779868:0.2739514:0.000107669:0.9617435,251.5495:-0.008600205:399.6059:-6.477256E-05:-0.2099815:-1.391118E-05:0.9777054,247.8208:-0.02999815:378.6164:-0.0002687166:-0.08036414:-2.166525E-05:0.9967656,235.2962:0.2239384:392.9454:0.003582792:0.08028104:-0.0002885636:0.9967658,217.1311:-0.02999532:403.6451:-0.0003659685:0.4090149:0.0001640351:0.9125276,245.6427:-0.02999502:407.5667:-0.0007013835:-0.1507357:-0.0001069455:0.9885738,254.9464:0.07682046:386.5398:0.0009920972:-0.1825467:0.0001841992:0.9831967
.239,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.0299989:378.4261:-0.0002719657:0.006448465:1.753798E-06:0.9999792,251.2971:-0.01498643:391.3087:-0.000141572:-0.1585681:-2.273646E-05:0.987348,240.3786:-0.02999738:409.3506:-0.0008315629:0.0004801901:3.993084E-07:0.9999996,231.8591:-0.02999565:409.2564:-0.0006960589:0.2540405:0.000182825:0.9671934,223.6366:-0.02999592:397.3545:-0.0003779872:0.2739514:0.0001076692:0.9617435,251.5494:-0.009306043:399.6062:-7.747269E-05:-0.2099815:-1.663878E-05:0.9777054,247.8208:-0.02999821:378.6164:-0.0002687172:-0.08036414:-2.166531E-05:0.9967656,235.2962:0.2003944:392.9454:0.00321435:0.08028114:-0.0002588886:0.996767,217.1311:-0.02999535:403.6451:-0.000365969:0.4090149:0.0001640353:0.9125276,245.6427:-0.02999508:407.5667:-0.0007013851:-0.1507357:-0.0001069458:0.9885738,254.9464:0.07682043:386.5398:0.0009920968:-0.1825467:0.0001841992:0.9831967
.315,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.0299989:378.4261:-0.0002719657:0.006448465:1.753798E-06:0.9999792,251.2959:-0.02608734:391.3121:-0.0002989748:-0.1585674:-4.801513E-05:0.9873481,240.3786:-0.02999738:409.3506:-0.0008315629:0.0004801901:3.993084E-07:0.9999996,231.8591:-0.02999565:409.2564:-0.0006960589:0.2540405:0.000182825:0.9671934,223.6366:-0.02999592:397.3545:-0.0003779872:0.2739514:0.0001076692:0.9617435,251.5493:-0.009395987:399.6062:-7.909106E-05:-0.2099812:-1.698633E-05:0.9777054,247.8208:-0.02999821:378.6164:-0.0002687172:-0.08036414:-2.166531E-05:0.9967656,235.2962:0.1768503:392.9454:0.002845904:0.08028124:-0.0002292134:0.9967682,217.1311:-0.02999535:403.6451:-0.000365969:0.4090149:0.0001640353:0.9125276,245.6427:-0.02999508:407.5667:-0.0007013851:-0.1507357:-0.0001069458:0.9885738,254.9464:0.07682043:386.5398:0.0009920968:-0.1825467:0.0001841992:0.9831967
.355,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999887:378.4261:-0.0002719654:0.006448465:1.753795E-06:0.9999792,251.2959:-0.02646258:391.3121:-0.0003042954:-0.1585669:-4.886946E-05:0.9873482,240.3786:-0.02999741:409.3506:-0.0008315639:0.0004801901:3.993089E-07:0.9999996,231.8591:-0.02999565:409.2564:-0.0006960589:0.2540405:0.000182825:0.9671934,223.6366:-0.02999592:397.3545:-0.0003779872:0.2739514:0.0001076692:0.9617435,251.5493:-0.00940299:399.6062:-7.921706E-05:-0.2099812:-1.70134E-05:0.9777054,247.8208:-0.02999821:378.6164:-0.0002687172:-0.08036414:-2.166531E-05:0.9967656,235.2962:0.1650783:392.9454:0.002661679:0.08028128:-0.0002143757:0.9967687,217.1311:-0.02999535:403.6451:-0.000365969:0.4090149:0.0001640353:0.9125276,245.6427:-0.02999508:407.5667:-0.0007013851:-0.1507357:-0.0001069458:0.9885738,254.9464:0.07682043:386.5398:0.0009920968:-0.1825467:0.0001841992:0.9831967
.438,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.02999887:378.4261:-0.0002719654:0.006448465:1.753795E-06:0.9999792,251.2958:-0.02647981:391.3121:-0.0003045398:-0.1585663:-4.890851E-05:0.9873483,240.3786:-0.02999741:409.3506:-0.0008315639:0.0004801901:3.993089E-07:0.9999996,231.8591:-0.02999565:409.2564:-0.0006960589:0.2540405:0.000182825:0.9671934,223.6366:-0.02999592:397.3545:-0.0003779872:0.2739514:0.0001076692:0.9617435,251.5493:-0.009404361:399.6062:-7.924172E-05:-0.2099812:-1.701869E-05:0.9777054,247.8208:-0.02999821:378.6164:-0.0002687172:-0.08036414:-2.166531E-05:0.9967656,235.2962:0.1415343:392.9454:0.002293228:0.08028134:-0.0001847001:0.9967696,217.1311:-0.02999535:403.6451:-0.000365969:0.4090149:0.0001640353:0.9125276,245.6427:-0.02999508:407.5667:-0.0007013851:-0.1507357:-0.0001069458:0.9885738,254.9464:0.07682043:386.5398:0.0009920968:-0.1825467:0.0001841992:0.9831967
.478,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.0299989:378.4261:-0.0002719657:0.006448465:1.753798E-06:0.9999792,251.2958:-0.02648041:391.3121:-0.0003045482:-0.1585663:-4.890987E-05:0.9873483,240.3786:-0.02999738:409.3506:-0.0008315629:0.0004801901:3.993084E-07:0.9999996,231.8591:-0.02999565:409.2564:-0.0006960589:0.2540405:0.000182825:0.9671934,223.6366:-0.02999592:397.3545:-0.0003779872:0.2739514:0.0001076692:0.9617435,251.5493:-0.009404451:399.6062:-7.924333E-05:-0.2099812:-1.701904E-05:0.9777054,247.8208:-0.02999821:378.6164:-0.0002687172:-0.08036414:-2.166531E-05:0.9967656,235.2962:0.1297623:392.9454:0.002109002:0.08028138:-0.0001698622:0.99677,217.1311:-0.02999535:403.6451:-0.000365969:0.4090149:0.0001640353:0.9125276,245.6427:-0.02999508:407.5667:-0.0007013851:-0.1507357:-0.0001069458:0.9885738,254.9464:0.07682043:386.5398:0.0009920968:-0.1825467:0.0001841992:0.9831967
.558,Terrain,171066,None,True,240.393:-0.005000055:424.3809:0:0.9938502:0:-0.1107332,239.8003:-0.0299989:378.4261:-0.0002719657:0.006448465:1.753798E-06:0.9999792,251.2958:-0.02648044:391.3121:-0.0003045487:-0.1585663:-4.890994E-05:0.9873483,240.3786:-0.02999738:409.3506:-0.0008315629:0.0004801901:3.993084E-07:0.9999996,231.8591:-0.02999565:409.2564:-0.0006960589:0.2540405:0.000182825:0.9671934,223.6366:-0.02999592:397.3545:-0.0003779872:0.2739514:0.0001076692:0.9617435,251.5493:-0.00940448:399.6062:-7.924387E-05:-0.2099812:-1.701915E-05:0.9777054,247.8208:-0.02999821:378.6164:-0.0002687172:-0.08036414:-2.166531E-05:0.9967656,235.2962:0.1062183:392.9454:0.001740547:0.08028143:-0.0001401863:0.9967707,217.1311:-0.02999535:403.6451:-0.000365969:0.4090149:0.0001640353:0.9125276,245.6427:-0.02999508:407.5667:-0.0007013851:-0.1507357:-0.0001069458:0.9885738,254.9464:0.07682043:386.5398:0.0009920968:-0.1825467:0.0001841992:0.9831967
