Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.785,Terrain,186322,None,True,246.9358:-0.004999876:422.0395:0:0.949042:0:-0.3151495,238.1141:0.1115837:403.7122:0.002794049:0.2224264:-0.0006374412:0.9749453,254.1505:0.1115837:406.1739:0.00326861:-0.2117754:0.0007082801:0.9773126,219.1169:0.1115837:408.9374:0.001600733:0.5356823:-0.001015475:0.8444175,223.4755:0.1115839:396.552:0.001567639:0.3634808:-0.0006116429:0.9316002,239.0525:0.1115837:392.0285:0.00186313:0.1280856:-0.0002406227:0.9917614
.835,Terrain,186322,None,True,246.7199:-0.005000055:421.8387:0:0.9465634:0:-0.3225178,238.1141:0.1115837:403.7122:0.002833961:0.2198154:-0.0006385693:0.9755372,254.1505:0.1115837:406.1739:0.003279949:-0.2196499:0.0007384793:0.975573,219.1169:0.1115837:408.9374:0.001613974:0.536924:-0.001027207:0.8436285,223.4755:0.1115839:396.552:0.001581261:0.3631707:-0.0006163517:0.9317211,239.0525:0.1115837:392.0285:0.001878798:0.1255432:-0.0002377518:0.9920864
.884,Terrain,186322,None,True,246.4021:-0.004999995:421.5261:0:0.9438639:0:-0.3303345,238.1141:0.1115837:403.7122:0.002896785:0.2160148:-0.0006408822:0.9763856,254.1505:0.1115837:406.1739:0.003297492:-0.2315795:0.000784975:0.9728101,219.1169:0.1115837:408.9374:0.001633946:0.5390089:-0.001045606:0.8422979,223.4755:0.1115839:396.552:0.001602233:0.3628628:-0.0006239162:0.931841,239.0525:0.1115837:392.0285:0.001903245:0.1217906:-0.0002335363:0.992554
.934,Terrain,186322,None,True,246.1937:-0.004999995:421.3122:0:0.9424868:0:-0.3342435,238.1141:0.1115837:403.7122:0.002940559:0.2135263:-0.0006427122:0.9769327,254.1505:0.1115837:406.1739:0.003309136:-0.2396049:0.0008166794:0.9708645,219.1169:0.1115837:408.9374:0.001647341:0.5405214:-0.001058355:0.841328,223.4755:0.1115839:396.552:0.00161655:0.3627405:-0.000629247:0.9318886,239.0525:0.1115837:392.0285:0.001920093:0.1193126:-0.00023074:0.9928548
.983,Terrain,186322,None,True,245.8862:-0.005000174:420.9846:0:0.9412174:0:-0.3378015,238.1141:0.1115837:403.7122:0.003009064:0.2098426:-0.0006458118:0.9777304,254.1505:0.1115837:406.1739:0.003326193:-0.2517383:0.000865199:0.9677892,219.1169:0.1115837:408.9374:0.001667533:0.5429567:-0.001078165:0.8397584,223.4755:0.1115839:396.552:0.001638505:0.3626687:-0.0006376476:0.9319165,239.0525:0.1115837:392.0285:0.001946137:0.1156224:-0.0002265368:0.9932913
1.034,Terrain,186322,None,True,245.6851:-0.004999995:420.762:0:0.9409473:0:-0.3385532,238.1141:0.1115837:403.7122:0.003056688:0.2074298:-0.0006481487:0.978245,254.1505:0.1115837:406.1739:0.003337283:-0.2598804:0.0008981601:0.9656346,219.1169:0.1115837:408.9374:0.001681012:0.544695:-0.001091825:0.8386318,223.4755:0.1115839:396.552:0.001653442:0.362701:-0.0006435266:0.9319039,239.0525:0.1115837:392.0285:0.001964012:0.1131868:-0.0002237385:0.9935718
1.084,Terrain,186322,None,True,245.3905:-0.005000055:420.4213:0:0.9412028:0:-0.3378424,238.1141:0.1115837:403.7122:0.003131245:0.2039128:-0.0006522079:0.9789839,254.1505:0.1115837:406.1739:0.003353689:-0.272152:0.0009485218:0.962248,219.1169:0.1115837:408.9374:0.001701169:0.5474916:-0.001113009:0.8368087,223.4755:0.1115839:396.552:0.00167628:0.3628908:-0.0006528088:0.93183,239.0525:0.1115837:392.0285:0.001991652:0.1095926:-0.0002195934:0.9939746
1.133,Terrain,186322,None,True,245.1978:-0.004999995:420.1909:0:0.9414879:0:-0.3370468,238.1141:0.1115837:403.7122:0.003183084:0.201601:-0.0006551686:0.9794623,254.1505:0.1115837:406.1739:0.003364135:-0.2803836:0.0009826712:0.9598817,219.1169:0.1115837:408.9374:0.001714599:0.5494637:-0.00112758:0.8355151,223.4755:0.1115839:396.552:0.001691807:0.3630924:-0.000659277:0.9317514,239.0525:0.1115837:392.0285:0.002010595:0.1072147:-0.0002168156:0.9942338
1.183,Terrain,186322,None,True,244.913:-0.005000114:419.8414:0:0.9421025:0:-0.3353252,238.1141:0.1115837:403.7122:0.003264201:0.1981402:-0.0006598554:0.980168,254.1505:0.1115837:406.1739:0.00337866:-0.2928177:0.00103469:0.9561618,219.1169:0.1115837:408.9374:0.001734781:0.5525633:-0.001150105:0.8334683,223.4755:0.1115839:396.552:0.001715579:0.3634861:-0.0006693761:0.9315978,239.0525:0.1115837:392.0285:0.002039769:0.1036503:-0.000212568:0.9946117
1.232,Terrain,186322,None,True,244.7251:-0.005000055:419.6066:0:0.9424925:0:-0.3342274,238.1141:0.1115837:403.7122:0.003320599:0.1958073:-0.0006630363:0.9806365,254.1505:0.1115837:406.1739:0.003387296:-0.3011707:0.001069834:0.9535636,219.1169:0.1115837:408.9374:0.001748292:0.5547107:-0.001165563:0.8320406,223.4755:0.1115839:396.552:0.001731765:0.3637946:-0.0006763522:0.9314774,239.0525:0.1115837:392.0285:0.002059701:0.1012582:-0.0002096395:0.994858
1.283,Terrain,186322,None,True,244.445:-0.004999995:419.2531:0:0.9429922:0:-0.3328151,238.1141:0.1115837:403.7122:0.003408856:0.1922155:-0.0006676898:0.9813466,254.1505:0.1115837:406.1739:0.003398216:-0.3138029:0.001123108:0.9494814,219.1169:0.1115837:408.9374:0.001768718:0.558032:-0.00118942:0.8298168,223.4755:0.1115839:396.552:0.001756596:0.3643012:-0.0006871517:0.9312792,239.0525:0.1115837:392.0285:0.002090297:0.0976162:-0.0002050265:0.9952219
1.332,Terrain,186322,None,True,244.2589:-0.005000114:419.0168:0:0.9432763:0:-0.3320088,238.1141:0.1115837:403.7122:0.003470252:0.189738:-0.0006706251:0.9818284,254.1505:0.1115837:406.1739:0.003403953:-0.3222907:0.001158909:0.9466339,219.1169:0.1115837:408.9374:0.001782467:0.5603057:-0.001205779:0.8282831,223.4755:0.1115839:396.552:0.001773539:0.3646599:-0.0006945674:0.9311389,239.0525:0.1115837:392.0285:0.002111155:0.09514143:-0.0002017741:0.9954615
1.382,Terrain,186322,None,True,243.981:-0.004999995:418.6614:0:0.9438267:0:-0.330441,238.1141:0.1115837:403.7122:0.003566446:0.1859012:-0.0006747735:0.9825618,254.1505:0.1115837:406.1739:0.003410224:-0.3351065:0.001212928:0.9421733,219.1169:0.1115837:408.9374:0.001803246:0.5638138:-0.001231016:0.8258991,223.4755:0.1115839:396.552:0.001799542:0.3652367:-0.000706037:0.9309127,239.0525:0.1115837:392.0285:0.002143157:0.09136358:-0.0001966293:0.9958153
1.431,Terrain,186322,None,True,243.7971:-0.004999995:418.4234:0:0.9443482:0:-0.3289477,238.1141:0.1115837:403.7122:0.003633516:0.1832792:-0.0006774277:0.983054,254.1505:0.1115837:406.1739:0.003412962:-0.343695:0.001249121:0.9390743,219.1169:0.1115837:408.9374:0.001817158:0.5662284:-0.001248326:0.8242454,223.4755:0.1115839:396.552:0.001817273:0.3656593:-0.0007139459:0.9307467,239.0525:0.1115837:392.0285:0.002165011:0.08881164:-0.0001930414:0.9960461
1.481,Terrain,186322,None,True,243.5244:-0.004999936:418.064:0:0.9452989:0:-0.3262056,238.1141:0.1115837:403.7122:0.003738899:0.1792754:-0.0006813359:0.9837916,254.1505:0.1115837:406.1739:0.003415055:-0.3566277:0.001303631:0.9342394,219.1169:0.1115837:408.9374:0.00183803:0.5699809:-0.001275039:0.8216549,223.4755:0.1115839:396.552:0.001844459:0.3663689:-0.0007262507:0.9304675,239.0525:0.1115837:392.0285:0.002198633:0.08494933:-0.0001874504:0.9963828
1.531,Terrain,186322,None,True,243.3447:-0.005000055:417.8228:0:0.946015:0:-0.3241229,238.1141:0.1115837:403.7122:0.003812563:0.1765592:-0.0006838921:0.9842824,254.1505:0.1115837:406.1739:0.003415104:-0.3652767:0.001340067:0.9308918,219.1169:0.1115837:408.9374:0.001851926:0.5725724:-0.001293359:0.8198511,223.4755:0.1115839:396.552:0.001862988:0.3668959:-0.0007347654:0.9302599,239.0525:0.1115837:392.0285:0.002221635:0.08235259:-0.0001835814:0.9966008
1.580,Terrain,186322,None,True,243.0791:-0.005000174:417.4581:0:0.94733:0:-0.320259,238.1141:0.1115837:403.7122:0.003812563:0.1765592:-0.0006838921:0.9842824,254.1505:0.1115837:406.1739:0.003413292:-0.378278:0.00139483:0.9256847,219.1169:0.1115837:408.9374:0.001872646:0.5766094:-0.001321619:0.8170168,223.4755:0.1115839:396.552:0.001891383:0.3677849:-0.0007480541:0.9299087,239.0525:0.1115837:392.0285:0.002257084:0.07843862:-0.0001775902:0.9969164
1.630,Terrain,186322,None,True,242.9053:-0.004999995:417.2127:0:0.9483849:0:-0.3171217,238.1141:0.1115837:403.7122:0.003812563:0.1765592:-0.0006838921:0.9842824,254.1505:0.1115837:406.1739:0.003410978:-0.3869546:0.001431413:0.9220914,219.1169:0.1115837:408.9374:0.001886293:0.5794125:-0.001340981:0.8150312,223.4755:0.1115839:396.552:0.001910697:0.3684588:-0.0007572952:0.9296418,239.0525:0.1115837:392.0285:0.002281397:0.07583089:-0.0001735004:0.9971181
1.680,Terrain,186322,None,True,242.7335:-0.004999995:416.9658:0:0.9493276:0:-0.3142882,238.1141:0.1115837:403.7122:0.003812563:0.1765592:-0.0006838921:0.9842824,254.1505:0.1115837:406.1739:0.003407604:-0.3956385:0.001467967:0.9183989,219.1169:0.1115837:408.9374:0.001899837:0.582296:-0.001360767:0.8129736,223.4755:0.1115839:396.552:0.001930348:0.3691874:-0.0007668351:0.9293527,239.0525:0.1115837:392.0285:0.002306253:0.07321105:-0.000169298:0.9973138
1.730,Terrain,186322,None,True,242.4781:-0.005000055:416.5939:0:0.9505277:0:-0.3106399,238.1141:0.1115837:403.7122:0.003812563:0.1765592:-0.0006838921:0.9842824,254.1505:0.1115837:406.1739:0.003400097:-0.4086798:0.001522512:0.9126703,219.1169:0.1115837:408.9374:0.001920051:0.5867499:-0.001391255:0.8097647,223.4755:0.1115839:396.552:0.001960518:0.3703551:-0.0007816743:0.9288878,239.0525:0.1115837:392.0285:0.002344525:0.06922284:-0.0001626854:0.9975985
1.779,Terrain,186322,None,True,242.3087:-0.004999995:416.3454:0:0.9512063:0:-0.3085558,238.1141:0.1115837:403.7122:0.003812563:0.1765592:-0.0006838921:0.9842824,254.1505:0.1115837:406.1739:0.003393267:-0.4173793:0.001558535:0.9087247,219.1169:0.1115837:408.9374:0.001933489:0.5897959:-0.00141213:0.8075488,223.4755:0.1115839:396.552:0.001981123:0.3711721:-0.0007919104:0.9285616,239.0525:0.1115837:392.0285:0.002370686:0.06650934:-0.0001580231:0.997783
1.829,Terrain,186322,None,True,242.0553:-0.004999995:415.9721:0:0.9520722:0:-0.3058734,238.1242:0.1115837:403.7433:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003387213:-0.4304323:0.001615269:0.9026151,219.1481:0.1115837:408.9471:0.001956282:0.5944744:-0.001446268:0.8041108,223.4981:0.1115839:396.5757:0.002015274:0.3724459:-0.0008087706:0.9280514,239.0566:0.1115837:392.061:0.002414181:0.06233792:-0.0001507888:0.9980522
1.879,Terrain,186322,None,True,241.8866:-0.005000114:415.7231:0:0.952563:0:-0.3043415,238.1447:0.1115837:403.8061:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003376407:-0.4391331:0.001650344:0.8984141,219.1481:0.1115837:408.9471:0.001969718:0.5976665:-0.001468348:0.8017411,223.4981:0.1115839:396.5757:0.002037011:0.3733246:-0.0008197345:0.9276982,239.0566:0.1115837:392.061:0.002441731:0.0594817:-0.0001454964:0.9982264
1.928,Terrain,186322,None,True,241.6338:-0.004999995:415.3494:0:0.9531906:0:-0.3023702,238.1755:0.1115837:403.9011:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003357147:-0.452146:0.001701827:0.8919361,219.1481:0.1115837:408.9471:0.001989824:0.6025578:-0.001502352:0.7980714,223.4981:0.1115839:396.5757:0.002070476:0.3746833:-0.0008367281:0.9271502,239.0566:0.1115837:392.061:0.002484057:0.05507858:-0.0001370268:0.9984789
1.978,Terrain,186322,None,True,241.4653:-0.004999995:415.1002:0:0.9535469:0:-0.3012447,238.196:0.1115837:403.9642:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003342299:-0.4607858:0.001735299:0.8875034,219.1481:0.1115837:408.9471:0.002003188:0.6058887:-0.001525631:0.7955455,223.4981:0.1115839:396.5757:0.002093389:0.3756167:-0.0008484413:0.9267724,239.0566:0.1115837:392.061:0.002512967:0.05206022:-0.0001310037:0.9986408
2.027,Terrain,186322,None,True,241.2126:-0.004999936:414.7263:0:0.9540032:0:-0.2997966,238.2269:0.1115837:404.0591:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003317048:-0.4736724:0.001784042:0.8806931,219.1481:0.1115837:408.9471:0.002023141:0.6109897:-0.001561476:0.7916344,223.4981:0.1115839:396.5757:0.002128698:0.3770579:-0.0008666094:0.9261869,239.0566:0.1115837:392.061:0.002557384:0.0474014:-0.0001213604:0.9988726
2.078,Terrain,186322,None,True,241.0443:-0.004999995:414.4771:0:0.9542626:0:-0.29897,238.2476:0.1115837:404.1227:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003298281:-0.4822057:0.001815478:0.8760499,219.1481:0.1115837:408.9471:0.002036366:0.6144623:-0.00158601:0.788942,223.4981:0.1115839:396.5757:0.002152893:0.3780477:-0.0008791432:0.9257832,239.0566:0.1115837:392.061:0.002587724:0.04420455:-0.0001145015:0.9990191
