Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,110606,None,True,240.393:0:424.3809:0:-0.9938502:0:0.1107332,231.859:0:409.2561:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,239.8003:0:378.4259:0:0:0:1,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844,235.2962:0.2906466:392.9454:0:0:0:1,240.3786:0:409.3502:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,245.6428:0:407.5663:0:0.9996465:0:0.02658921,247.8209:0:378.6161:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,223.6364:0:397.3542:0:0:0:1
1.670,Terrain,110606,None,True,240.1841:-0.005000114:424.7891:0:0.9258071:0:-0.3779962,231.8599:-0.02999821:409.256:-0.000687897:0.2435047:0.0001727047:0.9698995,251.505:-0.01544297:399.7116:-0.0001855213:-0.2104377:-3.993494E-05:0.9776073,239.8004:-0.02999914:378.426:-0.0002695889:0.004138843:1.115796E-06:0.9999914,254.9467:0.07682213:386.5393:0.0009809618:-0.1831288:0.0001827327:0.9830884,235.2957:-0.02999419:392.9413:-0.0003867324:0.07607906:2.950776E-05:0.9971017,240.3787:-0.02999836:409.3507:-0.0008095308:-0.006301933:-5.10171E-06:0.9999799,251.2949:-0.02652749:391.314:-0.0003012629:-0.1595504:-4.869034E-05:0.9871898,245.6427:-0.02999496:407.5667:-0.0006836059:-0.1528633:-0.000105741:0.9882471,247.8209:-0.03000015:378.6162:-0.0002661969:-0.08186401:-2.186534E-05:0.9966435,217.1315:-0.02999499:403.6445:-0.0003657227:0.4025231:0.0001608153:0.9154097,223.637:-0.02999628:397.354:-0.0003758159:0.2680444:0.0001045616:0.9634065
1.723,Terrain,110606,None,True,240.018:-0.004999936:425.1244:0:-0.8611794:0:0.5083011,231.8602:-0.02999836:409.2562:-0.0006808833:0.2352073:0.0001647714:0.971945,251.5036:-0.01418486:399.7149:-0.0001609978:-0.2106763:-3.469717E-05:0.9775559,239.8003:-0.02999386:378.426:-0.0002676066:0.002330377:6.23626E-07:0.9999973,254.9467:0.07682049:386.5393:0.0009720309:-0.1835364:0.000181486:0.9830124,235.2956:-0.02999654:392.9416:-0.0003832198:0.07278381:2.796637E-05:0.9973477,240.3788:-0.02999964:409.3511:-0.0007922101:-0.01143511:-9.059603E-06:0.9999343,251.2947:-0.02650476:391.3139:-0.0002977829:-0.1602688:-4.83503E-05:0.9870734,245.6428:-0.0300025:407.5667:-0.0006699368:-0.1543951:-0.0001046903:0.988009,247.821:-0.02999765:378.6162:-0.0002641263:-0.08301876:-2.200339E-05:0.9965479,217.1318:-0.0299972:403.6444:-0.0003654342:0.3972719:0.0001581962:0.9177009,223.6371:-0.02999601:397.3543:-0.0003739582:0.2633286:0.0001020766:0.9647061
1.764,Terrain,110606,None,True,239.9001:-0.005000055:425.3692:0:-0.8135393:0:0.5815101,231.8603:-0.02999583:409.2565:-0.0006755495:0.2293531:0.0001591827:0.9733431,251.5036:-0.01462147:399.7151:-0.0001670187:-0.2107912:-3.601531E-05:0.9775311,239.8003:-0.02999666:378.426:-0.0002662427:0.001062906:2.829911E-07:0.9999994,254.9467:0.07682118:386.5393:0.0009656712:-0.1837912:0.0001805578:0.9829648,235.2958:-0.0299989:392.9415:-0.0003806793:0.07046443:2.68912E-05:0.9975142,240.3788:-0.02999797:409.3514:-0.0007798845:-0.01493634:-1.164992E-05:0.9998882,251.2945:-0.02649507:391.3138:-0.0002953902:-0.1607379:-4.810593E-05:0.9869971,245.6428:-0.03000149:407.5668:-0.0006601657:-0.155388:-0.0001038431:0.9878533,247.821:-0.02999252:378.6163:-0.0002626:-0.08381498:-2.208753E-05:0.9964813,217.1319:-0.02999675:403.6446:-0.0003651146:0.3934898:0.0001562758:0.9193289,223.6372:-0.02999607:397.3545:-0.0003725593:0.2599634:0.0001003003:0.9656184
1.842,Terrain,110606,None,True,239.6569:-0.004999995:425.8858:0:-0.7162302:0:0.6978642,231.8606:-0.02999547:409.257:-0.0006642083:0.2174549:0.0001479764:0.9760702,251.5022:-0.0140309:399.7182:-0.0001536654:-0.2109385:-3.316006E-05:0.9774994,239.8004:-0.02999881:378.4261:-0.0002633674:-0.001511577:-3.981005E-07:0.9999989,254.9468:0.07681865:386.5394:0.0009525253:-0.1842592:0.0001785691:0.9828773,235.2957:-0.02999681:392.9417:-0.000375287:0.06576042:2.473257E-05:0.9978354,240.3785:-0.02999794:409.3518:-0.0007550569:-0.02180531:-1.646817E-05:0.999762,251.294:-0.02648234:391.3136:-0.0002905829:-0.1616323:-4.759339E-05:0.986851,245.6428:-0.02999461:407.5671:-0.0006404039:-0.1572571:-0.0001019769:0.9875575,247.8211:-0.02999812:378.6164:-0.0002596118:-0.08541001:-2.225477E-05:0.9963459,217.1323:-0.02999908:403.6445:-0.0003643309:0.3856047:0.0001522631:0.922664,223.6373:-0.02999604:397.3548:-0.0003695311:0.2530258:9.66458E-05:0.9674595
1.930,Terrain,110606,None,True,239.4099:-0.004999995:426.4207:0:-0.6245273:0:0.7810029,231.8609:-0.02999538:409.2576:-0.0006522906:0.2057083:0.0001371141:0.9786131,251.5022:-0.01489887:399.7188:-0.0001650494:-0.2110168:-3.563052E-05:0.9774824,239.8004:-0.02999559:378.4262:-0.00026039:-0.004067152:-1.059054E-06:0.9999917,254.9469:0.07681563:386.5395:0.0009393308:-0.1846799:0.0001765118:0.9827983,235.2958:-0.0300006:392.9417:-0.0003698982:0.06109864:2.264258E-05:0.9981317,240.3783:-0.02999797:409.3522:-0.0007308153:-0.0283312:-2.071319E-05:0.9995983,251.2931:-0.02648187:391.3158:-0.0002859624:-0.1624752:-4.708745E-05:0.9867126,245.6429:-0.03000221:407.5671:-0.0006215469:-0.1589673:-0.0001000783:0.9872837,247.8212:-0.03000078:378.6164:-0.0002565592:-0.08697448:-2.239899E-05:0.9962105,217.1326:-0.02999562:403.6445:-0.000363243:0.3775628:0.0001481095:0.9259839,223.6375:-0.02999598:397.3551:-0.0003663159:0.2460392:9.298649E-05:0.9692598
2.005,Terrain,110606,None,True,239.1938:-0.005000114:426.9751:0:-0.5326011:0:0.8463663,231.8614:-0.02999926:409.2577:-0.0006393706:0.1949392:0.0001270764:0.9808151,251.5021:-0.01590607:399.7194:-0.0001782522:-0.2105:-3.838207E-05:0.9775939,239.8003:-0.02999896:378.4263:-0.000257436:-0.006245368:-1.607814E-06:0.9999804,254.9472:0.0768137:386.5396:0.0009264293:-0.1846848:0.0001740923:0.9827974,235.296:-0.02999103:392.9419:-0.0003641778:0.05698579:2.078674E-05:0.9983749,240.3779:-0.02999747:409.3525:-0.0007072489:-0.03353806:-2.373311E-05:0.9994372,251.293:-0.02648395:391.3158:-0.0002814574:-0.1628266:-4.644863E-05:0.9866547,245.6432:-0.03000087:407.5673:-0.0006033788:-0.1597262:-9.762884E-05:0.9871612,247.8215:-0.02999479:378.6165:-0.000253423:-0.08816142:-2.242946E-05:0.9961062,217.1326:-0.02999547:403.6447:-0.0003616424:0.3697341:0.0001439093:0.9291375,223.638:-0.0299975:397.355:-0.000362714:0.2394441:8.945187E-05:0.9709101
2.070,Terrain,110606,None,True,239.0526:-0.004999995:427.4005:0:-0.4739291:0:0.880563,231.8617:-0.02999845:409.2579:-0.0006291043:0.1875615:0.0001201277:0.9822527,251.5009:-0.0145632:399.7227:-0.0001540526:-0.2097573:-3.304888E-05:0.9777535,239.8003:-0.02999923:378.4263:-0.0002551916:-0.007633689:-1.94811E-06:0.9999709,254.9471:0.07681507:386.5395:0.0009170293:-0.1844277:0.0001720775:0.9828457,235.2958:-0.03000039:392.9419:-0.0003600923:0.05426976:1.957097E-05:0.9985263,240.3775:-0.02999961:409.3525:-0.0006902676:-0.03663088:-2.530209E-05:0.9993286,251.2928:-0.02648747:391.3157:-0.0002781954:-0.1627862:-4.58986E-05:0.9866614,245.6431:-0.03000087:407.5673:-0.0005904416:-0.1597215:-9.553268E-05:0.9871619,247.8214:-0.02999619:378.6165:-0.0002511554:-0.0888074:-2.239294E-05:0.9960488,217.1329:-0.02999464:403.6446:-0.0003601019:0.364047:0.0001407524:0.9313805,223.6383:-0.03000036:397.3551:-0.0003598223:0.2347971:8.6915E-05:0.9720443
2.140,Terrain,110606,None,True,238.7881:-0.004999995:427.9301:0:-0.4409195:0:0.8975466,231.8618:-0.02999505:409.2581:-0.0006176672:0.1766732:0.0001108693:0.9842694,251.4995:-0.01657262:399.7275:-0.0001828717:-0.2101482:-3.930792E-05:0.9776695,239.8006:-0.02999613:378.4263:-0.0002524012:-0.01022533:-2.581021E-06:0.9999477,254.9474:0.07681456:386.5396:0.0009047528:-0.1850338:0.0001703516:0.9827318,235.2959:-0.02999693:392.9421:-0.0003550159:0.04972093:1.767358E-05:0.9987631,240.3774:-0.02999738:409.3529:-0.0006697386:-0.04266022:-2.859723E-05:0.9990894,251.293:-0.02648178:391.3157:-0.000273858:-0.1638131:-4.547586E-05:0.9864914,245.6439:-0.02999595:407.5678:-0.0005740437:-0.161673:-9.404458E-05:0.9868442,247.8222:-0.02999917:378.6167:-0.0002483009:-0.09047065:-2.255644E-05:0.9958991,217.133:-0.02999541:403.6447:-0.0003589164:0.3561115:0.0001367812:0.9344434,223.6384:-0.02999586:397.3552:-0.0003566214:0.2279964:8.350781E-05:0.9736619
2.185,Terrain,110606,None,True,238.619:-0.004999995:428.1716:0:-0.4360487:0:0.8999231,231.8619:-0.02999616:409.2584:-0.0006131544:0.1707272:0.0001062419:0.9853182,251.4981:-0.01493108:399.7307:-0.0001554638:-0.2110069:-3.355953E-05:0.9774846,239.8006:-0.02999893:378.4265:-0.0002511815:-0.01187413:-2.982771E-06:0.9999295,254.9474:0.0768137:386.5397:0.0008988145:-0.1857992:0.0001699584:0.9825873,235.2958:-0.03000051:392.9421:-0.0003528649:0.04700872:1.660608E-05:0.9988945,240.3774:-0.02999735:409.3532:-0.0006605739:-0.04656785:-3.079493E-05:0.9989149,251.2926:-0.02645415:391.3156:-0.0002714705:-0.1648443:-4.537105E-05:0.9863196,245.6439:-0.02999982:407.5678:-0.0005664893:-0.1635563:-9.391761E-05:0.9865339,247.8222:-0.02999824:378.6168:-0.0002469435:-0.09168374:-2.273647E-05:0.9957882,217.1331:-0.0299955:403.6449:-0.0003587568:0.3519965:0.0001349156:0.9360012,223.6384:-0.02999583:397.3554:-0.0003554526:0.2243188:8.18198E-05:0.9745157
