Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.501,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.550,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.600,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.650,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.699,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.749,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.800,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.850,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.900,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.949,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.999,Terrain,27372,None,True,248.4344:-0.005000055:423.1472:0:0.9914605:0:-0.1304076,254.1274:0.1115837:400.5315:0.002480524:-0.1229896:0.0003074134:0.9924048,226.925:0.1115837:400.0205:0.001717672:0.3658912:-0.00067531:0.9306558,239.5336:0.1115837:409.8317:0.003482623:0.2903742:-0.001056805:0.9569063,257.9121:0.1115837:401.5073:0.002415047:-0.2049404:0.0005056756:0.9787713,244.207:0.1115837:388.6828:0.001675654:0.06098641:-0.0001023828:0.9981372,245.0705:0.1115837:391.2257:0.001813534:0.05247139:-9.52901E-05:0.9986208,224.7857:0.1115837:400.783:0.001644854:0.3955376:-0.0007083705:0.918448,240.4374:0.1115837:408.7354:0.003423815:0.2505938:-0.0008862715:0.9680859
1.048,Terrain,27372,None,True,248.2284:-0.005000114:422.9832:0:0.983053:0:-0.1833221,254.1274:0.1115837:400.5315:0.002490385:-0.1281137:0.0003217045:0.9917563,226.925:0.1115837:400.0205:0.001732375:0.3653096:-0.0006798409:0.9308842,239.5336:0.1115837:409.8317:0.003540699:0.2879419:-0.001064612:0.9576408,257.9121:0.1115837:401.5073:0.002419062:-0.210224:0.0005201706:0.9776501,244.207:0.1115837:388.6828:0.001685014:0.05832004:-9.843779E-05:0.9982965,245.0705:0.1115837:391.2257:0.001824273:0.04953494:-9.047647E-05:0.9987708,224.7857:0.1115837:400.783:0.001658467:0.3952193:-0.0007135521:0.9185851,240.4374:0.1115837:408.7354:0.003477825:0.2475954:-0.0008887728:0.9688569
1.098,Terrain,27372,None,True,248.0483:-0.005000055:422.8404:0:0.9769539:0:-0.2134507,254.1274:0.1115837:400.5315:0.002498734:-0.1326258:0.0003343512:0.991163,226.925:0.1115837:400.0205:0.001745413:0.3647875:-0.0006838281:0.9310889,239.5336:0.1115837:409.8317:0.003592877:0.2857409:-0.001071306:0.9582996,257.9121:0.1115837:401.5073:0.002422235:-0.2148569:0.0005328807:0.9766424,244.207:0.1115837:388.6828:0.001693205:0.05596427:-9.490787E-05:0.9984314,245.0705:0.1115837:391.2257:0.001833665:0.04693907:-8.616567E-05:0.9988961,224.7857:0.1115837:400.783:0.001670536:0.394931:-0.0007181235:0.918709,240.4374:0.1115837:408.7354:0.003526206:0.2448902:-0.0008906593:0.969544
