Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.504,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.554,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.603,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.654,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.702,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.752,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.802,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.852,Terrain,196062,None,True,248.4805:-0.005000055:423.1772:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001925771:-0.07086381:0.0001368116:0.9974841,240.2394:0.08712769:378.4684:0.001009032:0.09101468:-9.221956E-05:0.9958491,245.6181:0.08712769:407.8893:0.002948922:0.09241261:-0.00027369:0.9957164,235.5269:0.08712769:392.6381:0.001360764:0.199239:-0.0002766644:0.97995,246.5558:0.08712769:378.4684:0.001029116:0.0215097:-2.21411E-05:0.9997681,254.9346:0.08712769:386.67:0.001237754:-0.08737939:0.0001085695:0.9961743,231.7596:0.08712769:409.3763:0.001921914:0.4262898:-0.0009057117:0.9045842,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001077485:0.4872197:-0.0006011504:0.8732786,240.4482:0.08712769:409.3763:0.002785094:0.2605027:-0.0007514736:0.9654688,251.1217:0.08712769:391.398:0.001443275:-0.04144846:5.987305E-05:0.9991396,224.8722:0.08712769:397.123:0.001222387:0.3598377:-0.000471441:0.933014
.902,Terrain,196062,None,True,248.3711:-0.005000174:423.1227:0:0.9851093:0:-0.1719296,251.8535:0.08712769:399.5573:0.001928521:-0.07329118:0.000141725:0.9973087,240.2394:0.08712769:378.4684:0.001010762:0.0899433:-9.128125E-05:0.9959463,245.6181:0.08712769:407.8893:0.002963751:0.089278:-0.0002656598:0.9960023,235.5269:0.08712769:392.6381:0.001364913:0.1980629:-0.0002758028:0.9801883,246.5558:0.08712769:378.4684:0.001030501:0.02031397:-2.09379E-05:0.9997932,254.9346:0.08712769:386.67:0.001238732:-0.08895478:0.0001106298:0.9960349,231.7596:0.08712769:409.3763:0.001933105:0.4257109:-0.0009094744:0.9048567,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001081098:0.4870898:-0.0006029556:0.873351,240.4482:0.08712769:409.3763:0.002804584:0.2584604:-0.0007503736:0.9660175,251.1217:0.08712769:391.398:0.001445209:-0.04322871:6.253302E-05:0.9990641,224.8722:0.08712769:397.123:0.001226656:0.3592459:-0.000472194:0.933242
.952,Terrain,196062,None,True,248.0869:-0.004999995:423.0559:0:0.9651777:0:-0.2615951,251.8535:0.08712769:399.5573:0.001929458:-0.07938632:0.0001536578:0.9968421,240.2394:0.08712769:378.4684:0.001013613:0.08699866:-8.851859E-05:0.996208,245.6181:0.08712769:407.8893:0.002987942:0.08059423:-0.0002415979:0.9967425,235.5269:0.08712769:392.6381:0.001372991:0.194547:-0.0002723146:0.9808922,246.5558:0.08712769:378.4684:0.001032348:0.01716198:-1.771975E-05:0.9998522,254.9346:0.08712769:386.67:0.00123876:-0.09287616:0.0001155509:0.9956769,231.7596:0.08712769:409.3763:0.001959599:0.422953:-0.00091466:0.906149,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001089959:0.4859954:-0.0006061087:0.8739605,240.4482:0.08712769:409.3763:0.002845183:0.2518908:-0.0007405577:0.9677512,251.1217:0.08712769:391.398:0.001446755:-0.04776685:6.9186E-05:0.9988575,224.8722:0.08712769:397.123:0.001236235:0.3570183:-0.0004724977:0.9340965
