Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,11490,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.353,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.428,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.499,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.548,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.593,Terrain,11490,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115839:403.7122:0.002560974:0.2423866:-0.0006398281:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512624:0.5307173:-0.0009471749:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681269:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.674,Terrain,11490,None,True,248.4174:-0.004999995:423.1833:0:0.9896691:0:-0.1433705,238.1141:0.1115839:403.7122:0.002568137:0.2409557:-0.0006375957:0.9705325,254.1505:0.1115837:406.1739:0.003204677:-0.1618298:0.0005255424:0.9868134,219.1169:0.1115837:408.9374:0.001516716:0.5304443:-0.0009490577:0.8477179,223.4755:0.1115839:396.552:0.00148579:0.3675062:-0.0005871243:0.9300197,239.0525:0.1115837:392.0285:0.001772767:0.1454833:-0.0002606818:0.9893591
.716,Terrain,11490,None,True,248.2571:-0.005000174:423.1604:0:0.9779999:0:-0.2086051,238.1141:0.1115839:403.7122:0.002581141:0.2380561:-0.0006326462:0.9712478,254.1505:0.1115837:406.1739:0.003196936:-0.1661978:0.0005388203:0.9860871,219.1169:0.1115837:408.9374:0.001524656:0.5297965:-0.000952406:0.8481229,223.4755:0.1115839:396.552:0.001491767:0.3662091:-0.0005870826:0.9305312,239.0525:0.1115837:392.0285:0.001777053:0.1432436:-0.0002572044:0.9896858
.758,Terrain,11490,None,True,248.0467:-0.005000174:423.1361:0:0.9638675:0:-0.2663821,238.1141:0.1115839:403.7122:0.002597653:0.2341499:-0.000625635:0.9721968,254.1505:0.1115837:406.1739:0.003185422:-0.1718509:0.0005556876:0.9851177,219.1169:0.1115837:408.9374:0.001535151:0.5288684:-0.000956629:0.848702,223.4755:0.1115839:396.552:0.001499515:0.3644415:-0.0005868461:0.9312249,239.0525:0.1115837:392.0285:0.001782341:0.1402638:-0.0002524945:0.9901125
.836,Terrain,11490,None,True,247.541:-0.005000234:423.0849:0:0.9322047:0:-0.3619315,238.1141:0.1115839:403.7122:0.002636545:0.2245064:-0.0006074297:0.9744689,254.1505:0.1115837:406.1739:0.003154882:-0.1852137:0.0005946183:0.9826931,219.1169:0.1115837:408.9374:0.001560864:0.526503:-0.0009666283:0.8501713,223.4755:0.1115839:396.552:0.001518161:0.3600627:-0.0005859336:0.9329267,239.0525:0.1115837:392.0285:0.001794461:0.1330095:-0.0002408204:0.9911131
