Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd
.000,Terrain,13768,None,True,262.9717:0:450.5668:0:-0.9938502:0:0.1107332
.123,Terrain,13768,None,True,262.9711:0.01868373:450.5662:0:0.9938502:0:-0.1107332
.173,Terrain,13768,None,True,262.971:0.01862508:450.5661:0:0.9938502:0:-0.1107332
.223,Terrain,13768,None,True,262.971:0.01849437:450.566:0:0.9938502:0:-0.1107332
.273,Terrain,13768,None,True,262.971:0.018471:450.566:0:0.9938502:0:-0.1107332
.322,Terrain,13768,None,True,262.971:0.01846308:450.566:0:0.9938502:0:-0.1107332
.372,Terrain,13768,None,True,262.971:0.01846206:450.566:0:0.9938502:0:-0.1107332
.421,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.471,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.522,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.571,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.621,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.671,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.722,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.772,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.822,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.872,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.922,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.972,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.022,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.072,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.122,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.173,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.223,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.273,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.323,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.373,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.423,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.473,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.523,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.573,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.623,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.673,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.723,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.773,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.823,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.874,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.923,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.973,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.023,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.074,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.124,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.174,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.224,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.274,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.325,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.375,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.425,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.475,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.525,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.575,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.625,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.675,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.725,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.775,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.826,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.876,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.925,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.975,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.026,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.076,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.126,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.176,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.226,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.276,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.326,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.376,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.426,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.476,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.526,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.577,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.626,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.677,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.727,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.776,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.826,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.878,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.927,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.977,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.027,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.077,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.127,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.177,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.227,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.277,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.327,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.378,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.427,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
4.478,Terrain,13768,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
