Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd
.000,Terrain,104762,None,True,262.9717:0:450.5668:0:-0.9938502:0:0.1107332
.353,Terrain,104762,None,True,262.971:0.01846242:450.566:0:0.9938502:0:-0.1107332
.423,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.473,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.522,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.572,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.621,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.672,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.721,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.770,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.820,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.870,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.920,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
.969,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.019,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.069,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.118,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.168,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.218,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.268,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.317,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.367,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.417,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.466,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.516,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.566,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.615,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.665,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.715,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.765,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.814,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.864,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.914,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
1.963,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.013,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.063,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.113,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.163,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.213,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.263,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.313,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.363,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.413,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.464,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.513,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.563,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.613,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.663,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.713,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.763,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.813,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.864,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.913,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
2.964,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
3.013,Terrain,104762,None,True,262.971:0.01846188:450.566:0:0.9938502:0:-0.1107332
