Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.836,Terrain,12750,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,254.1274:0.1115837:400.5315:0:0.03693227:0:0.9993178,226.925:0.1115837:400.0205:0:-0.06112971:0:0.9981299,239.5336:0.1115837:409.8317:0:0.5534835:0:0.8328602,257.9121:0.1115837:401.5073:0:-0.2148768:0:0.9766412,244.207:0.1115837:388.6828:0:-0.2148768:0:0.9766412,245.0705:0.1115837:391.2257:0:-0.3808171:0:0.9246504,224.7857:0.1115837:400.783:0:0.2687635:0:0.9632062,240.4374:0.1115837:408.7354:0:-0.1763241:0:-0.9843322
.056,Terrain,12750,None,True,248.5:-0.004985154:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002476954:-0.1213637:0.0003028518:0.992605,226.925:0.1115837:400.0205:0.001712803:0.3660685:-0.0006737724:0.9305861,239.5336:0.1115837:409.8317:0.003463962:0.2911229:-0.001054104:0.9566788,257.9121:0.1115837:401.5073:0.002413336:-0.2032577:0.0005009886:0.9791222,244.207:0.1115837:388.6828:0.00167244:0.06182851:-0.0001036028:0.9980854,245.0705:0.1115837:391.2257:0.00180986:0.05339856:-9.678218E-05:0.9985716,224.7857:0.1115837:400.783:0.001640339:0.3956319:-0.0007066259:0.9184074,240.4374:0.1115837:408.7354:0.003406394:0.2515215:-0.0008852463:0.9678453
.107,Terrain,12750,None,True,248.5:-0.004999936:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477268:-0.1213637:0.0003028902:0.992605,226.925:0.1115837:400.0205:0.00171302:0.3660685:-0.0006738578:0.9305861,239.5336:0.1115837:409.8317:0.003464401:0.2911229:-0.001054237:0.9566788,257.9121:0.1115837:401.5073:0.002413642:-0.2032577:0.0005010521:0.9791222,244.207:0.1115837:388.6828:0.001672652:0.06182851:-0.000103616:0.9980854,245.0705:0.1115837:391.2257:0.00181009:0.05339856:-9.679446E-05:0.9985716,224.7857:0.1115837:400.783:0.001640547:0.3956319:-0.0007067155:0.9184074,240.4374:0.1115837:408.7354:0.003406826:0.2515215:-0.0008853585:0.9678453
.157,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.205,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.256,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.306,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.355,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.405,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.455,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.504,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.554,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.603,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.654,Terrain,12750,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
