Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
4.017,Terrain,185516,None,True,242.2912:-0.004999995:422.6812:0:0.4239957:0:0.9056642,239.3048:-0.0299983:403.497:-0.0006418612:0.07713851:4.966021E-05:0.9970202,238.1141:0.1115839:403.7122:0.002983458:0.1081609:-0.0003245992:0.9941289,254.1505:0.1115837:406.1739:0.002729848:-0.3064777:0.0008789378:0.9518735,219.1169:0.1115837:408.9374:0.00187993:0.4949228:-0.00107076:0.8689343,223.4755:0.1115839:396.552:0.001722938:0.307005:-0.0005557919:0.9517062,239.0525:0.1115837:392.0285:0.001888532:0.05261019:-9.949401E-05:0.9986134
4.088,Terrain,185516,None,True,242.8763:-0.004999995:422.6211:0:0.5166839:0:0.8561762,239.305:-0.02999839:403.4973:-0.0006397496:0.09217876:5.922349E-05:0.9957423,238.1141:0.1115839:403.7122:0.002966664:0.1230448:-0.0003678294:0.9923967,254.1505:0.1115837:406.1739:0.00279231:-0.2959537:0.0008651553:0.9551978,219.1169:0.1115837:408.9374:0.001840618:0.5004605:-0.00106399:0.8657568,223.4755:0.1115839:396.552:0.00170281:0.3144622:-0.0005640864:0.9492683,239.0525:0.1115837:392.0285:0.001887047:0.06213322:-0.0001174755:0.9980661
4.171,Terrain,185516,None,True,243.4442:-0.004999995:422.4621:0:0.5979502:0:0.8015332,239.3051:-0.02999854:403.4979:-0.0006402245:0.1072371:6.905405E-05:0.9942333,238.1141:0.1115839:403.7122:0.002961759:0.1380394:-0.0004127929:0.9904222,254.1505:0.1115837:406.1739:0.002865026:-0.2866645:0.0008572846:0.9580264,219.1169:0.1115837:408.9374:0.00180513:0.506997:-0.001061779:0.8619453,223.4755:0.1115839:396.552:0.001686784:0.3224389:-0.0005745736:0.9465886,239.0525:0.1115837:392.0285:0.001890865:0.07159638:-0.0001357276:0.9974319
4.247,Terrain,185516,None,True,244.005:-0.004999936:422.2635:0:0.6503681:0:0.7596192,239.3052:-0.02999869:403.4985:-0.0006412843:0.1223955:7.908495E-05:0.9924812,238.1141:0.1115839:403.7122:0.002959463:0.1531315:-0.0004585977:0.9882013,254.1505:0.1115837:406.1739:0.002944079:-0.2775964:0.0008507046:0.9606929,219.1169:0.1115837:408.9374:0.001771406:0.5137914:-0.00106087:0.8579127,223.4755:0.1115839:396.552:0.001672078:0.3305613:-0.0005856474:0.9437829,239.0525:0.1115837:392.0285:0.001896326:0.08109061:-0.0001542826:0.9967049
4.287,Terrain,185516,None,True,244.2902:-0.004999936:422.1741:0:0.6677727:0:0.7443653,239.3053:-0.02999878:403.4988:-0.0006411708:0.1300519:8.409975E-05:0.991507,238.1141:0.1115839:403.7122:0.002955347:0.1607127:-0.000481219:0.9869967,254.1505:0.1115837:406.1739:0.002983994:-0.2726469:0.0008456178:0.9621092,219.1169:0.1115837:408.9374:0.001754364:0.5170074:-0.001059628:0.8559785,223.4755:0.1115839:396.552:0.001664067:0.3345417:-0.0005907387:0.9423793,239.0525:0.1115837:392.0285:0.001898082:0.08590887:-0.0001636675:0.9963012
4.365,Terrain,185516,None,True,244.8715:-0.004999995:422.0868:0:0.6677854:0:0.7443539,239.3055:-0.02999902:403.4994:-0.0006374029:0.1449656:9.338801E-05:0.9894365,238.1141:0.1115839:403.7122:0.002931307:0.1752917:-0.0005219174:0.984512,254.1505:0.1115837:406.1739:0.00305484:-0.2608961:0.000825593:0.9653617,219.1169:0.1115837:408.9374:0.001719186:0.5221456:-0.001052543:0.852854,223.4755:0.1115839:396.552:0.001644453:0.3416925:-0.0005978838:0.9398102,239.0525:0.1115837:392.0285:0.001895235:0.09546788:-0.0001817646:0.9954307
4.440,Terrain,185516,None,True,245.3992:-0.004999995:422.2379:0:0.6140353:0:0.7892786,239.3056:-0.02999875:403.5:-0.0006265418:0.1565597:9.931591E-05:0.9876683,238.1141:0.1115839:403.7122:0.002876999:0.1862385:-0.0005453516:0.9825002,254.1505:0.1115837:406.1739:0.003087907:-0.2468325:0.0007865368:0.9690529,219.1169:0.1115837:408.9374:0.001685888:0.523671:-0.001036309:0.8519183,223.4755:0.1115839:396.552:0.001619544:0.345967:-0.0005971881:0.9382451,239.0525:0.1115837:392.0285:0.001878249:0.1033548:-0.0001951716:0.9946428
4.513,Terrain,185516,None,True,245.6852:-0.005000114:422.5091:0:0.5479081:0:0.8365385,239.3056:-0.02999768:403.5003:-0.0006152045:0.1611943:0.0001004815:0.9869225,238.1141:0.1115839:403.7122:0.002823976:0.1902838:-0.0005473601:0.9817249,254.1505:0.1115837:406.1739:0.003078171:-0.2367864:0.0007502076:0.9715566,219.1169:0.1115837:408.9374:0.001666466:0.5220587:-0.001020033:0.8529073,223.4755:0.1115839:396.552:0.001600602:0.3465365:-0.0005913073:0.938035,239.0525:0.1115837:392.0285:0.001857972:0.1069279:-0.0001998151:0.994265
4.586,Terrain,185516,None,True,245.9606:-0.005000114:422.9846:0:0.4719872:0:0.8816053,239.3056:-0.02999827:403.5006:-0.000598866:0.1638289:9.945534E-05:0.9864886,238.1141:0.1115839:403.7122:0.002749127:0.1921188:-0.0005381868:0.9813677,254.1505:0.1115837:406.1739:0.003037496:-0.2247306:0.0007005412:0.974416,219.1169:0.1115837:408.9374:0.001645919:0.5178549:-0.000996354:0.8554664,223.4755:0.1115839:396.552:0.001576507:0.345186:-0.0005798285:0.9385328,239.0525:0.1115837:392.0285:0.001826768:0.1095609:-0.0002013548:0.9939784
4.664,Terrain,185516,None,True,246.1996:-0.004999936:423.5115:0:0.4133694:0:0.9105634,239.3055:-0.02999774:403.5007:-0.0005824361:0.1651313:9.751722E-05:0.9862714,238.1141:0.1115839:403.7122:0.002674537:0.1926388:-0.000525056:0.981266,254.1505:0.1115837:406.1739:0.002985724:-0.2133331:0.0006519656:0.9769748,219.1169:0.1115837:408.9374:0.001627056:0.5128949:-0.0009721122:0.8584493,223.4755:0.1115839:396.552:0.001552908:0.3430643:-0.0005671684:0.9393105,239.0525:0.1115837:392.0285:0.001794347:0.1113846:-0.0002011144:0.9937758
4.736,Terrain,185516,None,True,246.4239:-0.004999995:423.8077:0:0.4557225:0:0.8901219,239.3056:-0.02999854:403.501:-0.0005726357:0.1677803:9.745856E-05:0.9858242,238.1141:0.1115839:403.7122:0.002629219:0.1947971:-0.0005221691:0.9808399,254.1505:0.1115837:406.1739:0.00296343:-0.2050194:0.0006207494:0.9787533,219.1169:0.1115837:408.9374:0.001611741:0.5107604:-0.0009575357:0.8597211,223.4755:0.1115839:396.552:0.00153689:0.3428089:-0.0005608448:0.9394037,239.0525:0.1115837:392.0285:0.001775238:0.1137173:-0.0002031937:0.9935116
4.811,Terrain,185516,None,True,246.8587:-0.004999995:423.8506:0:0.5523974:0:0.8335809,239.3056:-0.02999845:403.5013:-0.0005667775:0.17677:0.0001017923:0.984252,238.1141:0.1115839:403.7122:0.00259953:0.2033983:-0.0005400308:0.9790925,254.1505:0.1115837:406.1739:0.002990294:-0.1943744:0.0005925405:0.9809227,219.1169:0.1115837:408.9374:0.001588568:0.513082:-0.0009495867:0.8583376,223.4755:0.1115839:396.552:0.001521087:0.3467908:-0.0005624007:0.9379411,239.0525:0.1115837:392.0285:0.001766197:0.1199892:-0.0002134671:0.9927736
4.883,Terrain,185516,None,True,247.3563:-0.004999936:423.7109:0:0.6260711:0:0.779766,239.3058:-0.02999869:403.5017:-0.0005642962:0.1884117:0.0001082589:0.98209,238.1141:0.1115839:403.7122:0.002584125:0.2147639:-0.000568238:0.9766625,254.1505:0.1115837:406.1739:0.003046626:-0.1837546:0.0005695322:0.9829673,219.1169:0.1115837:408.9374:0.001564611:0.5179032:-0.000947255:0.8554373,223.4755:0.1115839:396.552:0.001508149:0.3528625:-0.000568755:0.9356738,239.0525:0.1115837:392.0285:0.001765158:0.1278145:-0.0002274789:0.9917965
4.950,Terrain,185516,None,True,247.7463:-0.004999995:423.553:0:0.6691487:0:0.7431285,239.3059:-0.02999747:403.502:-0.0005631574:0.1979014:0.0001136984:0.9802218,238.1141:0.1115839:403.7122:0.002575756:0.2240599:-0.0005921816:0.9745718,254.1505:0.1115837:406.1739:0.003098284:-0.1756112:0.0005526851:0.9844546,219.1169:0.1115837:408.9374:0.001546572:0.5221642:-0.0009469084:0.8528431,223.4755:0.1115839:396.552:0.001499166:0.357975:-0.0005747529:0.9337298,239.0525:0.1115837:392.0285:0.001766432:0.1341402:-0.000239111:0.9909608
5.019,Terrain,185516,None,True,248.1432:-0.004999995:423.3741:0:0.7035339:0:0.7106617,239.3061:-0.02999699:403.5025:-0.0005621649:0.2076991:0.0001193642:0.9781926,238.1141:0.1115839:403.7122:0.002567855:0.2336562:-0.0006170786:0.9723157,254.1505:0.1115837:406.1739:0.003154392:-0.1672155:0.0005349984:0.9859152,219.1169:0.1115837:408.9374:0.001528564:0.5266267:-0.0009469327:0.8500947,223.4755:0.1115839:396.552:0.001490346:0.363283:-0.0005811208:0.9316775,239.0525:0.1115837:392.0285:0.001768287:0.1406675:-0.0002512391:0.9900553
5.061,Terrain,185516,None,True,248.5437:-0.004999995:423.1847:0:0.7310269:0:0.6823487,239.3062:-0.0299983:403.5028:-0.0005611068:0.2176521:0.0001251258:0.9760262,238.1141:0.1115839:403.7122:0.002559491:0.2433908:-0.0006422731:0.9699247,254.1505:0.1115837:406.1739:0.003213321:-0.1585217:0.0005159072:0.9873502,219.1169:0.1115837:408.9374:0.001510639:0.5311429:-0.0009469888:0.8472804,223.4755:0.1115839:396.552:0.001481508:0.3686646:-0.000587567:0.9295611,239.0525:0.1115837:392.0285:0.001770218:0.1473125:-0.000263652:0.9890884
5.128,Terrain,185516,None,True,248.946:-0.004999995:422.9901:0:0.7530684:0:0.6579422,239.3064:-0.02999824:403.5033:-0.0005598191:0.2276742:0.000130894:0.9737372,238.1141:0.1115839:403.7122:0.002550226:0.2531734:-0.0006673949:0.9674173,254.1505:0.1115837:406.1739:0.003274171:-0.1495054:0.0004950733:0.9887554,219.1169:0.1115837:408.9374:0.001492835:0.5356388:-0.0009469175:0.8444454,223.4755:0.1115839:396.552:0.001472572:0.3740568:-0.0005939433:0.9274045,239.0525:0.1115837:392.0285:0.001771971:0.1540287:-0.0002762313:0.9880648
5.200,Terrain,185516,None,True,249.3562:-0.004999995:422.809:0:0.7641948:0:0.6449856,239.3067:-0.02999735:403.5038:-0.0005578155:0.2376834:0.0001364951:0.9713425,238.1141:0.1115839:403.7122:0.002537914:0.2629031:-0.0006915552:0.9648187,254.1505:0.1115837:406.1739:0.003333953:-0.1398362:0.000470836:0.9901689,219.1169:0.1115837:408.9374:0.001474774:0.5399293:-0.0009460204:0.8417086,223.4755:0.1115839:396.552:0.001462916:0.3793463:-0.0005997835:0.9252535,239.0525:0.1115837:392.0285:0.001772461:0.1608111:-0.0002887905:0.9869836
5.271,Terrain,185516,None,True,249.9277:-0.004999995:422.6511:0:0.7580053:0:0.6522484,239.3069:-0.02999857:403.5042:-0.000552662:0.250525:0.0001430164:0.96811,238.1141:0.1115839:403.7122:0.002510578:0.275257:-0.0007188244:0.9613671,254.1505:0.1115837:406.1739:0.003399985:-0.1251097:0.0004287424:0.992137,219.1169:0.1115837:408.9374:0.001449539:0.5446854:-0.0009414576:0.8386387,223.4755:0.1115839:396.552:0.001447228:0.3857842:-0.0006051648:0.9225877,239.0525:0.1115837:392.0285:0.00176774:0.1697954:-0.0003045774:0.9854777
5.339,Terrain,185516,None,True,250.3673:-0.004999995:422.6182:0:0.7425265:0:0.6698167,239.3072:-0.02999774:403.5047:-0.0005466421:0.2592914:0.0001467589:0.965799,238.1141:0.1115839:403.7122:0.002481126:0.2835763:-0.0007337101:0.9589462,254.1505:0.1115837:406.1739:0.003432445:-0.1128212:0.0003897432:0.9936093,219.1169:0.1115837:408.9374:0.001430161:0.5472497:-0.0009351083:0.8369676,223.4755:0.1115839:396.552:0.001433296:0.3898719:-0.0006068208:0.9208678,239.0525:0.1115837:392.0285:0.001759283:0.1762165:-0.0003149435:0.9843498
5.409,Terrain,185516,None,True,250.9606:-0.005000055:422.6225:0:0.7314975:0:0.6818442,239.3074:-0.02999759:403.5051:-0.000537473:0.2703043:0.0001508985:0.9627748,238.1141:0.1115839:403.7122:0.002437151:0.2939535:-0.000749526:0.9558163,254.1505:0.1115837:406.1739:0.003463055:-0.09562881:0.0003326945:0.995411,219.1169:0.1115837:408.9374:0.001404517:0.550072:-0.0009251239:0.8351156,223.4755:0.1115839:396.552:0.001413715:0.3948477:-0.00060757:0.9187453,239.0525:0.1115837:392.0285:0.001745079:0.1845304:-0.0003276473:0.9828252
5.485,Terrain,185516,None,True,251.5489:-0.004999995:422.5742:0:0.7470876:0:0.6647256,239.3077:-0.02999589:403.5056:-0.0005292473:0.2814931:0.0001552576:0.9595631,238.1141:0.1115839:403.7122:0.002397602:0.3045396:-0.0007665799:0.9524964,254.1505:0.1115837:406.1739:0.003499501:-0.07857601:0.0002758314:0.996902,219.1169:0.1115837:408.9374:0.001380061:0.5533513:-0.0009168158:0.8329464,223.4755:0.1115839:396.552:0.001395605:0.4001206:-0.0006093114:0.9164612,239.0525:0.1115837:392.0285:0.001733059:0.1929485:-0.0003407956:0.9812073
5.554,Terrain,185516,None,True,251.8899:-0.004999995:422.489:0:0.7538463:0:0.6570508,239.3076:-0.03000444:403.506:-0.000525618:0.2885058:0.0001583784:0.957478,238.1141:0.1115839:403.7122:0.002378729:0.3112222:-0.0007790036:0.9503339,254.1505:0.1115837:406.1739:0.003530608:-0.06878436:0.0002434287:0.9976253,219.1169:0.1115837:408.9374:0.001366382:0.5558229:-0.0009135899:0.8312991,223.4755:0.1115839:396.552:0.001386265:0.4036226:-0.0006115562:0.9149243,239.0525:0.1115837:392.0285:0.001728513:0.1981085:-0.0003493578:0.9801785
