Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd
.000,Terrain,9296,None,True,262.9717:0:450.5668:0:-0.9938502:0:0.1107332
.353,Terrain,9296,None,True,262.971:0.01848102:450.566:0:0.9938502:0:-0.1107332
.399,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.440,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.483,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.541,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.598,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.657,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.716,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.756,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.815,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.871,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.925,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
.978,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.030,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.083,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.142,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.194,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.249,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.306,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.360,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.417,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.474,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.529,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.586,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.642,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
1.698,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.069,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.146,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.208,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.266,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.322,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.379,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.440,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.498,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.553,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.608,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.664,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.720,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.775,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.830,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.887,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.934,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
2.991,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.048,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.107,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.166,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.223,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.280,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.337,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.670,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.719,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.779,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.819,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.860,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.921,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
3.979,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.037,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.096,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.137,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.177,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.223,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.265,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.306,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.346,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.388,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.431,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.474,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.516,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.559,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.599,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.659,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.700,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.741,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.782,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
4.822,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.175,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.224,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.266,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.312,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.356,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.400,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.449,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.495,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.547,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.588,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.630,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.675,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.717,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.761,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.803,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.845,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.889,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.931,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
5.974,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
6.015,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
6.058,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
6.114,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
6.166,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
6.208,Terrain,9296,None,True,262.971:0.01848048:450.566:0:0.9938502:0:-0.1107332
